Department No,Department Name,"Sub-
Dept.",Sub Department,Date,Opening Stock at CP,Purchases at CP,IDTs,Stock Adjustments at CP,Waste Adjustments at CP,Recipe Auto Produce at CP,Waste to Sales %,Sales at Cost,S.Take Var to Fin Stock,Fin S.Take Var to Sales %,Theo. Fin Closing Stock,Actual Stock at CP (Products),Theo to Act Difference CP,Stock Variance (Last Stock Take) at CP,Act S.Take Var to Sales %,Sales Excl. VAT,Front End GP%,Actual Fin GP%,Calc Cost of Sales,Calc GP R,Sales Excl. VAT (%),Stock Days CP
1,BAKERY,101,BAKERY MANUFACTURING BREADS,2024/12/30,14 249.23,6 306.75,-147.04,0.00,-1 268.48,0.00,-3.85,-17 255.39,7 199.10,21.85,9 641.39,1 071.82,-8 012.36,8 012.36,0.00,32 953.70,47.64,65.63,11 324.76,21 628.94,0.12,3.69
1,BAKERY,101,BAKERY MANUFACTURING BREADS,2025/01/06,9 084.17,5 326.22,-258.04,0.00,-403.35,0.00,-1.18,-18 044.64,15 823.74,46.49,11 529.96,-6 047.71,-17 575.81,17 575.81,0.00,34 038.22,46.99,92.29,2 624.25,31 413.97,0.12,4.47
1,BAKERY,101,BAKERY MANUFACTURING BREADS,2025/01/13,11 528.10,927.62,-194.18,0.00,-860.91,0.00,-2.74,-16 512.15,12 687.92,40.33,7 576.40,-6 691.31,-14 267.71,14 267.71,0.00,31 464.05,47.52,85.11,4 685.14,26 778.91,0.11,3.21
1,BAKERY,101,BAKERY MANUFACTURING BREADS,2025/01/20,7 576.40,10 841.16,-171.98,0.00,-900.32,0.00,-2.60,-18 517.38,13 430.68,38.77,12 819.50,-3 062.18,-15 320.74,15 320.74,0.00,34 638.79,46.54,82.72,5 987.02,28 651.77,0.12,4.63
1,BAKERY,101,BAKERY MANUFACTURING BREADS,2025/01/27,12 258.56,1 738.83,-394.07,0.00,-158.49,0.00,-0.44,-19 059.31,13 468.21,37.13,7 853.74,-7 399.05,-15 252.79,15 252.79,0.00,36 268.33,47.45,84.15,5 749.58,30 518.75,0.13,2.88
1,BAKERY,101,BAKERY MANUFACTURING BREADS,2025/02/03,7 853.74,4 402.17,-155.40,0.00,-218.16,0.00,-0.56,-20 522.74,16 076.38,41.29,7 603.15,-10 247.91,-17 683.89,17 683.89,0.00,38 931.62,47.29,88.02,4 664.52,34 267.09,0.14,2.54
1,BAKERY,101,BAKERY MANUFACTURING BREADS,2025/02/10,7 435.98,7 494.95,-333.09,0.00,-537.30,0.00,-1.46,-19 896.22,13 320.72,36.17,8 042.26,-6 965.12,-14 450.16,14 450.16,0.00,36 824.76,45.97,80.68,7 112.80,29 711.97,0.13,2.63
1,BAKERY,101,BAKERY MANUFACTURING BREADS,2025/02/17,7 485.04,4 006.80,-122.10,0.00,-672.45,0.00,-1.92,-18 090.21,12 819.21,36.54,5 704.90,-9 588.03,-15 014.32,15 014.32,0.00,35 081.28,48.43,83.06,5 943.46,29 137.82,0.12,2.10
1,BAKERY,101,BAKERY MANUFACTURING BREADS,2025/02/24,5 426.29,6 424.61,-249.68,0.00,-135.93,0.00,-0.33,-21 648.66,13 577.64,32.63,3 951.49,-11 888.84,-15 283.11,15 283.11,0.00,41 612.81,47.98,80.28,8 206.95,33 405.85,0.15,1.10
1,BAKERY,101,BAKERY MANUFACTURING BREADS,2025/03/03,3 394.27,7 744.64,-357.94,0.00,-221.99,0.00,-0.54,-22 371.38,17 320.31,42.07,6 065.12,-13 113.63,-18 621.53,18 621.53,0.00,41 167.44,45.66,87.19,5 273.06,35 894.38,0.15,1.72
