,,,Totals, ,01/03/22, ,01/04/22, ,01/05/22, ,01/06/22, ,01/07/22, ,01/08/22, ,01/09/22, ,01/10/22, ,01/11/22, ,01/12/22, ,01/01/23, ,01/02/23, ,01/03/23, ,01/04/23, ,01/05/23, ,01/06/23, ,01/07/23, ,01/08/23, ,01/09/23, ,01/10/23, ,01/11/23, ,01/12/23, ,01/01/24, ,01/02/24, ,01/03/24, ,01/04/24, ,01/05/24, ,01/06/24, ,01/07/24, ,01/08/24, ,01/09/24, ,01/10/24, ,01/11/24, ,01/12/24, ,01/01/25, ,01/02/25, ,01/03/25, ,01/04/25, ,01/05/25, ,01/06/25, ,01/07/25, ,01/08/25, ,01/09/25, ,01/10/25, ,01/11/25, ,01/12/25, ,01/01/26, ,01/02/26, ,01/03/26, ,01/04/26, 
Product Code,Product Description,Department,< Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%)
56247,B/WORS ROLL BUTCH,2,20 249.000,2.74,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,1 105.000,2.80,2 064.000,3.98,996.000,2.32,1 072.000,2.14,1 110.000,2.31,1 055.000,2.30,782.000,1.47,475.000,0.93,1 124.000,1.59,1 483.000,11.25,1 684.000,12.59,486.000,5.83,759.000,7.02,799.000,7.58,619.000,5.86,812.000,7.00,572.000,4.69,966.000,7.36,461.000,3.96,626.000,4.59,258.000,2.52,224.000,2.31,403.000,2.98,141.000,1.62,140.000,1.79,33.000,0.39,0.000,0.00
34204,BULK PORK LOIN CHOPS,2,12 351.930,3.54,285.660,6.19,341.801,8.45,461.336,5.38,362.955,8.49,391.305,5.43,800.821,8.02,1 164.748,17.99,1 182.581,20.46,840.566,14.95,670.989,7.46,434.244,5.77,639.215,9.92,689.386,12.74,793.004,11.51,576.193,8.50,402.268,6.75,401.610,8.79,684.843,10.52,455.488,13.81,334.853,12.49,301.925,9.72,136.139,1.41,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
34199,BULK LEAN BEEF MINCE,2,11 874.176,3.61,184.978,6.50,178.517,6.88,220.587,9.38,163.925,6.24,229.451,6.24,235.079,5.41,224.974,3.29,189.268,4.45,236.139,3.56,196.840,1.90,169.687,2.83,207.939,2.58,284.880,3.77,217.003,3.33,294.340,5.53,254.562,2.01,221.690,2.18,263.064,2.56,268.289,2.68,247.487,4.38,283.444,4.38,240.684,2.92,238.853,5.73,269.484,5.18,279.422,4.09,328.411,5.18,313.704,5.01,301.476,4.64,377.828,5.55,298.079,5.46,332.796,5.05,274.993,4.09,198.067,2.93,234.488,2.66,218.707,3.35,242.066,2.92,362.857,2.02,351.350,3.32,206.076,4.01,138.435,4.08,199.518,4.10,229.730,3.02,169.026,2.64,210.774,2.92,165.724,2.91,142.367,1.95,171.053,2.26,197.196,1.34,263.600,-0.47,145.269,-0.86
34203,BULK PORK BRAAI CHOPS,2,11 015.344,3.44,617.450,7.62,639.684,6.96,516.588,7.28,489.704,6.75,608.119,6.85,642.530,12.11,611.509,12.40,438.052,6.38,376.248,12.49,737.597,19.90,427.879,15.89,475.920,10.76,524.069,9.02,671.470,10.13,577.920,7.28,491.711,9.81,634.598,9.67,338.979,7.53,395.195,11.60,363.668,6.66,299.029,6.01,137.425,1.92,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
11136,SPAR YB PORK LION WHOLE,2,9 051.298,2.73,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,165.169,2.74,412.632,7.40,426.645,6.19,379.020,5.63,305.298,5.15,320.622,5.35,335.094,6.46,390.822,7.04,535.414,7.34,421.596,7.38,337.380,6.66,529.186,6.20,540.998,5.45,513.463,6.69,705.224,8.19,942.455,6.95,437.103,6.18,447.371,4.45,372.965,4.62,335.041,3.84,197.800,2.06,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
34254, MEATY  BONES,2,7 576.526,1.34,21.196,0.32,5.137,0.07,0.000,0.00,52.697,0.85,320.989,4.05,427.194,5.30,382.653,3.47,282.397,2.33,130.182,1.29,94.167,0.64,47.404,0.68,174.197,1.96,496.688,3.71,279.568,2.68,163.339,1.78,116.254,1.49,86.098,1.05,52.900,0.70,36.574,0.41,25.250,0.31,36.039,0.33,36.779,0.23,36.030,0.37,25.142,0.26,152.133,1.46,259.582,2.92,400.609,3.89,310.930,3.15,289.114,3.07,300.955,2.75,61.466,0.59,63.239,0.61,103.916,0.83,29.913,0.18,29.260,0.28,50.067,0.43,179.227,0.83,297.567,1.18,288.946,2.02,304.433,2.47,216.798,1.96,180.226,1.55,48.094,0.49,70.140,0.46,140.297,0.86,37.267,0.16,126.371,0.82,135.419,0.99,80.281,0.54,91.402,1.21
11132,YB PORK SHLDR B/IN,2,7 369.129,2.11,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,479.333,6.95,366.655,6.63,659.592,8.90,843.420,11.63,657.121,10.16,498.779,9.37,751.002,8.57,353.805,3.42,380.973,3.78,361.355,3.65,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,45.023,0.68,570.046,7.39,385.271,5.66,585.725,6.32,431.029,4.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
34160,BEEF LEAN MINCE,2,7 280.100,3.14,105.280,3.33,121.806,3.73,140.799,5.31,157.838,4.82,190.608,4.17,181.704,4.16,145.539,3.75,97.872,3.61,113.638,3.36,113.324,1.91,136.911,4.33,126.836,3.61,144.515,3.82,159.007,3.97,152.604,4.30,157.424,3.47,190.409,2.63,241.321,3.59,203.104,2.58,173.752,4.21,124.650,3.12,151.459,3.00,148.514,5.05,171.386,4.46,190.397,3.37,154.842,3.71,182.900,4.21,143.179,3.15,219.166,4.24,184.138,4.46,182.434,3.59,139.944,2.82,119.338,2.37,117.519,1.97,114.325,3.02,142.896,2.80,175.864,2.53,152.766,2.91,119.816,2.84,96.100,3.30,108.654,3.11,128.540,2.28,126.400,2.70,130.066,2.38,113.137,2.36,107.811,1.67,119.946,1.99,126.203,1.77,154.165,2.22,79.254,2.21
14922,BRITOS BACON DICED,2,6 212.000,0.91,71.000,0.66,130.000,1.03,140.000,1.28,175.000,1.64,185.000,1.34,183.000,1.37,165.000,1.22,229.000,1.98,204.000,1.89,98.000,0.58,80.000,0.91,150.000,1.62,157.000,1.33,180.000,1.49,76.000,0.72,118.000,1.07,89.000,0.83,40.000,0.42,118.000,0.84,104.000,0.59,108.000,0.75,127.000,0.75,70.000,0.69,90.000,0.87,84.000,0.62,118.000,1.05,92.000,0.70,130.000,1.04,110.000,1.06,121.000,1.00,132.000,1.14,123.000,1.09,100.000,0.73,90.000,0.47,94.000,0.77,106.000,0.77,129.000,0.84,119.000,0.77,92.000,0.55,126.000,0.82,103.000,0.64,113.000,0.67,116.000,0.88,99.000,0.66,156.000,0.85,144.000,0.54,148.000,0.87,164.000,1.06,203.000,1.23,113.000,1.33
