;;;Totals; ; ; ; ;01/03/22; ; ; ; ;01/04/22; ; ; ; ;01/05/22; ; ; ; ;01/06/22; ; ; ; ;01/07/22; ; ; ; ;01/08/22; ; ; ; ;01/09/22; ; ; ; ;01/10/22; ; ; ; ;01/11/22; ; ; ; ;01/12/22; ; ; ; ;01/01/23; ; ; ; ;01/02/23; ; ; ; ;01/03/23; ; ; ; ;01/04/23; ; ; ; ;01/05/23; ; ; ; ;01/06/23; ; ; ; ;01/07/23; ; ; ; ;01/08/23; ; ; ; ;01/09/23; ; ; ; ;01/10/23; ; ; ; ;01/11/23; ; ; ; ;01/12/23; ; ; ; ;01/01/24; ; ; ; ;01/02/24; ; ; ; ;01/03/24; ; ; ; ;01/04/24; ; ; ; ;01/05/24; ; ; ; ;01/06/24; ; ; ; ;01/07/24; ; ; ; ;01/08/24; ; ; ; ;01/09/24; ; ; ; ;01/10/24; ; ; ; ;01/11/24; ; ; ; ;01/12/24; ; ; ; ;01/01/25; ; ; ; ;01/02/25; ; ; ; ;01/03/25; ; ; ; ;01/04/25; ; ; ; ;01/05/25; ; ; ; ;01/06/25; ; ; ; ;01/07/25; ; ; ; ;01/08/25; ; ; ; ;01/09/25; ; ; ; ;01/10/25; ; ; ; ;01/11/25; ; ; ; ;01/12/25; ; ; ; ;01/01/26; ; ; ; ;01/02/26; ; ; ; ;01/03/26; ; ; ; 
Product Code;Product Description;Department;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %
8913;TINKIES H&H  CHO&VAN;1;9464.67;994.000;2742.05;0.04;33.32;265.62;38.000;54.59;0.07;23.63;0.00;0.000;0.00;0.00;0.00;87.89;11.000;24.31;0.02;31.81;199.75;25.000;44.49;0.04;25.61;0.00;0.000;0.00;0.00;0.00;95.88;12.000;21.23;0.02;25.46;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;95.48;12.000;16.80;0.01;20.24;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;8.99;1.000;2.30;0.00;29.41;125.86;14.000;32.18;0.03;29.41;170.81;19.000;43.68;0.04;29.41;224.75;25.000;58.73;0.05;30.05;224.75;25.000;58.73;0.05;30.05;170.81;19.000;44.64;0.04;30.05;215.76;24.000;56.38;0.05;30.05;197.78;22.000;51.68;0.04;30.05;206.77;23.000;54.03;0.05;30.05;323.64;36.000;84.57;0.07;30.05;193.79;21.000;48.59;0.04;28.84;119.88;12.000;36.33;0.03;34.85;269.73;27.000;73.55;0.05;31.36;239.76;24.000;74.19;0.05;35.58;219.78;22.000;68.01;0.04;35.58;239.76;24.000;74.19;0.04;35.58;249.75;25.000;77.28;0.04;35.58;219.78;22.000;68.01;0.04;35.58;219.78;22.000;68.01;0.04;35.58;149.85;15.000;46.37;0.02;35.58;169.83;17.000;52.55;0.03;35.58;289.71;29.000;89.65;0.05;35.58;139.86;14.000;43.28;0.03;35.58;239.26;24.000;73.75;0.04;35.45;259.74;26.000;80.37;0.05;35.58;219.78;22.000;68.01;0.04;35.58;359.64;36.000;111.28;0.07;35.58;609.39;61.000;188.57;0.12;35.58;688.81;69.000;212.86;0.13;35.54;613.39;62.000;186.45;0.12;34.96;629.37;63.000;194.75;0.13;35.58;509.49;51.000;157.65;0.10;35.58
8915;TINKIES H&H STR&VAN;1;10865.91;1 194.000;2989.29;0.05;31.64;76.89;11.000;15.80;0.02;23.63;377.46;54.000;77.57;0.07;23.63;310.19;41.000;67.03;0.07;24.85;359.55;45.000;80.21;0.08;25.65;415.48;52.000;92.41;0.08;25.58;223.72;28.000;49.53;0.05;25.46;87.89;11.000;19.46;0.02;25.46;351.56;44.000;77.83;0.07;25.46;439.05;55.000;96.94;0.08;25.39;199.75;25.000;44.22;0.03;25.46;107.88;12.000;27.69;0.02;29.51;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;8.99;1.000;2.35;0.00;30.05;224.75;25.000;58.73;0.05;30.05;96.90;10.000;29.18;0.03;34.63;0.00;0.000;0.00;0.00;0.00;143.84;16.000;36.78;0.03;29.41;179.80;20.000;46.58;0.04;29.79;62.93;7.000;16.45;0.01;30.05;233.74;26.000;61.08;0.05;30.05;251.72;28.000;65.78;0.06;30.05;214.86;24.000;55.60;0.05;29.76;125.86;14.000;32.89;0.02;30.05;215.76;24.000;56.38;0.05;30.05;278.24;31.000;79.65;0.06;32.92;147.84;16.000;41.11;0.03;31.98;79.92;8.000;19.39;0.01;27.90;249.75;25.000;68.89;0.05;31.72;159.84;16.000;49.46;0.03;35.58;139.86;14.000;43.28;0.03;35.58;199.30;20.000;61.39;0.04;35.42;219.78;22.000;68.01;0.04;35.58;129.87;13.000;40.19;0.02;35.58;129.87;13.000;40.19;0.02;35.58;129.87;13.000;40.19;0.02;35.58;269.73;27.000;83.46;0.05;35.58;299.70;30.000;92.74;0.05;35.58;159.84;16.000;49.46;0.03;35.58;179.32;18.000;55.21;0.03;35.41;149.85;15.000;46.37;0.03;35.58;159.84;16.000;49.46;0.03;35.58;129.87;13.000;40.19;0.02;35.58;569.43;57.000;176.20;0.11;35.58;649.35;65.000;200.93;0.12;35.58;509.49;51.000;157.65;0.10;35.58;599.40;60.000;185.47;0.13;35.58;617.38;62.000;189.92;0.12;35.38
14712;F/L BREAD GARLIC MINI;1;73858.16;1 624.000;17331.59;0.26;26.99;1405.63;37.000;323.75;0.43;26.49;1249.87;33.000;285.45;0.26;26.26;1175.79;31.000;269.60;0.27;26.37;1061.82;28.000;243.35;0.24;26.36;1779.83;47.000;406.30;0.36;26.25;1177.69;31.000;271.25;0.25;26.49;1251.77;33.000;287.10;0.25;26.38;1063.72;28.000;245.00;0.21;26.49;907.96;24.000;206.70;0.17;26.18;1823.52;48.000;420.00;0.33;26.49;1225.80;30.000;277.91;0.24;26.07;1425.69;31.000;333.29;0.34;26.88;1195.74;26.000;279.53;0.24;26.88;1655.64;36.000;387.05;0.34;26.88;643.86;14.000;150.52;0.14;26.88;919.80;20.000;215.03;0.20;26.88;827.82;18.000;196.10;0.17;27.24;781.83;17.000;185.21;0.17;27.24;2069.55;45.000;490.26;0.42;27.24;1333.71;29.000;315.94;0.26;27.24;2023.56;44.000;479.36;0.39;27.24;2805.39;61.000;659.24;0.51;27.02;2137.50;50.000;478.46;0.43;25.74;1103.76;24.000;255.67;0.23;26.64;1239.43;27.000;285.63;0.21;26.50;1149.75;25.000;266.33;0.22;26.64;1655.64;36.000;383.51;0.31;26.64;1979.55;45.000;445.13;0.37;25.86;917.50;20.000;211.06;0.15;26.45;1103.76;24.000;255.67;0.18;26.64;1423.39;31.000;328.24;0.22;26.52;1515.37;33.000;349.55;0.21;26.53;1471.68;32.000;343.34;0.20;26.83;2299.50;50.000;553.04;0.32;27.66;1425.69;31.000;342.88;0.21;27.66;919.80;20.000;221.22;0.12;27.66;2069.55;45.000;497.74;0.26;27.66;1055.47;23.000;252.40;0.15;27.50;1223.76;24.000;294.46;0.17;27.67;1299.75;25.000;312.76;0.19;27.67;1663.68;32.000;400.34;0.23;27.67;1754.66;34.000;414.06;0.25;27.14;1817.05;35.000;435.61;0.27;27.57;1767.66;34.000;425.36;0.26;27.67;1869.04;36.000;448.12;0.28;27.57;2802.26;54.000;671.05;0.40;27.54;2334.35;45.000;558.46;0.36;27.51;1401.13;27.000;335.53;0.23;27.54;2651.49;51.000;638.04;0.41;27.67
14713;F/L BRD GARLIC LARGE;1;246335.92;7 153.000;56269.78;0.85;26.27;4075.64;136.000;959.12;1.29;27.06;5183.15;185.000;1133.43;1.02;25.15;4017.16;134.000;961.27;0.95;27.52;3447.35;115.000;824.78;0.81;27.51;4272.05;145.000;1020.70;0.91;27.48;3407.44;116.000;797.33;0.73;26.91;3853.62;138.000;809.61;0.70;24.16;3843.70;130.000;900.81;0.75;26.95;4344.05;145.000;1037.67;0.87;27.47;7493.00;250.000;1791.93;1.40;27.50;4150.68;132.000;989.46;0.86;27.41;2951.18;82.000;704.52;0.71;27.45;4786.54;146.000;1045.17;0.91;25.11;5391.28;152.000;1264.31;1.12;26.97;2373.54;66.000;565.48;0.53;27.40;3599.00;100.000;846.27;0.77;27.04;3239.10;90.000;771.23;0.67;27.38;3489.23;97.000;829.65;0.77;27.34;3676.89;111.000;814.02;0.69;25.46;3161.72;88.000;749.40;0.63;27.26;3451.44;96.000;819.52;0.67;27.31;7957.30;230.000;1784.05;1.37;25.78;5114.65;155.000;1079.69;0.98;24.28;3881.52;108.000;906.17;0.83;26.85;5924.38;182.000;1240.26;0.93;24.08;4516.37;133.000;990.49;0.83;25.22;4961.22;138.000;1159.19;0.92;26.87;4498.75;125.000;1054.24;0.87;26.95;3681.41;109.000;798.46;0.58;24.94;4789.30;140.000;1050.85;0.73;25.23;4882.54;146.000;1044.72;0.70;24.61;3388.99;101.000;729.93;0.44;24.77;5430.89;151.000;1284.72;0.74;27.20;9065.88;252.000;2222.52;1.29;28.19;5756.44;176.000;1341.76;0.81;26.81;5158.42;158.000;1165.63;0.61;25.99;5182.56;144.000;1212.63;0.62;26.91;7139.25;225.000;1431.74;0.84;23.06;5746.53;147.000;1358.19;0.77;27.18;3783.02;98.000;839.00;0.51;25.50;5356.66;134.000;1289.77;0.75;27.69;4750.81;119.000;1139.98;0.69;27.59;7578.29;206.000;1625.51;1.02;24.67;6681.25;175.000;1482.34;0.91;25.51;9037.74;226.000;2123.61;1.32;27.02;12110.87;313.000;2737.02;1.62;25.99;6494.32;168.000;1464.62;0.93;25.94;3989.17;103.000;881.41;0.60;25.41;5269.63;137.000;1195.60;0.77;26.09
14714;F/L BRAAIBRD CHSE&ONION;1;51609.23;1 317.000;12162.04;0.18;27.10;1367.62;38.000;315.38;0.42;26.52;1151.68;32.000;265.59;0.24;26.52;611.83;17.000;141.09;0.14;26.52;719.80;20.000;165.99;0.16;26.52;1043.71;29.000;240.69;0.21;26.52;611.83;17.000;141.09;0.13;26.52;1256.05;35.000;287.35;0.25;26.31;1043.71;29.000;240.69;0.20;26.52;899.75;25.000;207.49;0.17;26.52;1619.55;45.000;373.48;0.29;26.52;947.74;26.000;219.14;0.19;26.59;1130.71;29.000;264.95;0.27;26.95;1052.73;27.000;246.68;0.21;26.95;1598.59;41.000;374.59;0.33;26.95;935.76;24.000;219.27;0.21;26.95;896.77;23.000;208.12;0.19;26.69;1323.71;34.000;310.10;0.27;26.94;894.82;23.000;209.22;0.19;26.89;1208.69;31.000;284.28;0.24;27.05;1401.69;36.000;328.44;0.28;26.95;1442.63;37.000;339.31;0.28;27.05;1754.55;45.000;412.67;0.32;27.05;1284.72;33.000;300.93;0.27;26.94;1130.71;29.000;265.94;0.24;27.05;1128.76;29.000;264.25;0.20;26.92;545.86;14.000;127.57;0.11;26.88;896.77;23.000;209.57;0.17;26.88;857.78;22.000;200.46;0.17;26.88;855.83;22.000;198.77;0.14;26.71;974.75;25.000;227.80;0.16;26.88;779.80;20.000;182.24;0.12;26.88;1284.72;33.000;299.00;0.18;26.76;1089.77;28.000;252.85;0.15;26.68;1598.59;41.000;385.34;0.22;27.72;818.79;21.000;197.37;0.12;27.72;1247.68;32.000;300.75;0.16;27.72;428.89;11.000;103.38;0.05;27.72;779.80;20.000;187.97;0.11;27.72;1186.72;28.000;287.26;0.16;27.84;923.79;21.000;224.01;0.14;27.89;439.90;10.000;106.67;0.06;27.89;1143.74;26.000;277.35;0.17;27.89;1231.72;28.000;298.68;0.19;27.89;1011.77;23.000;245.35;0.15;27.89;263.94;6.000;64.00;0.04;27.89;2065.33;47.000;499.45;0.30;27.81;175.96;4.000;42.67;0.03;27.89;1187.73;27.000;288.02;0.19;27.89;1361.49;31.000;328.77;0.21;27.77
14716;F/L BRAAIBRD GARLIC;1;66075.93;1 757.000;18078.25;0.27;31.46;1247.61;39.000;291.54;0.39;26.87;2236.10;70.000;523.58;0.47;26.93;1180.43;37.000;277.88;0.27;27.07;1343.58;42.000;318.59;0.31;27.27;1246.01;39.000;294.44;0.26;27.18;1023.68;32.000;242.73;0.22;27.27;1150.04;36.000;271.68;0.23;27.17;1759.45;55.000;370.03;0.31;24.19;1503.53;47.000;312.29;0.26;23.89;2431.24;76.000;576.49;0.45;27.27;1218.09;36.000;330.86;0.29;31.24;1869.57;48.000;654.58;0.66;40.26;1442.63;37.000;505.88;0.44;40.33;2300.41;59.000;806.67;0.72;40.33;1052.73;27.000;369.15;0.35;40.33;662.83;17.000;232.43;0.21;40.33;1208.69;31.000;423.84;0.37;40.33;1091.72;28.000;382.83;0.35;40.33;2924.25;75.000;1025.43;0.87;40.33;1247.68;32.000;437.52;0.37;40.33;1208.69;31.000;423.84;0.35;40.33;1713.61;44.000;599.89;0.46;40.26;1559.60;40.000;546.89;0.49;40.33;1752.60;45.000;613.56;0.56;40.26;1325.66;34.000;464.86;0.35;40.33;779.80;20.000;273.45;0.23;40.33;974.75;25.000;287.08;0.23;33.87;857.78;22.000;200.46;0.17;26.88;1052.73;27.000;246.02;0.18;26.88;1130.71;29.000;264.25;0.18;26.88;1638.56;44.000;354.85;0.24;24.90;1138.69;31.000;247.71;0.15;25.02;1169.70;30.000;272.59;0.16;26.80;1481.62;38.000;357.14;0.21;27.72;1169.70;30.000;281.95;0.17;27.72;1208.69;31.000;291.35;0.15;27.72;875.74;26.000;161.99;0.08;21.27;1321.76;34.000;311.14;0.18;27.07;1323.69;31.000;319.35;0.18;27.74;1011.77;23.000;245.35;0.15;27.89;1317.50;30.000;318.11;0.19;27.77;1231.72;28.000;298.68;0.18;27.89;1187.73;27.000;288.02;0.18;27.89;1451.67;33.000;352.02;0.22;27.89;1583.64;36.000;384.02;0.24;27.89;1759.60;40.000;426.69;0.25;27.89;1392.65;35.000;282.36;0.18;23.32;879.80;20.000;213.35;0.14;27.89;435.50;10.000;102.85;0.07;27.16
14721;F/L CHILLI GARLIC BREAD;1;48876.42;1 368.000;10910.90;0.16;25.67;927.71;29.000;221.10;0.30;27.41;1484.42;58.000;275.18;0.25;21.32;624.75;25.000;107.80;0.11;19.84;597.80;20.000;132.61;0.13;25.51;795.74;26.000;182.78;0.16;26.42;806.33;27.000;180.61;0.16;25.76;1924.30;70.000;387.43;0.33;23.15;1657.46;54.000;379.21;0.32;26.31;831.74;26.000;198.23;0.17;27.41;1535.52;48.000;365.97;0.29;27.41;1104.67;33.000;256.79;0.22;26.73;1286.67;33.000;298.09;0.30;26.64;1154.66;34.000;230.47;0.20;22.95;1587.61;44.000;333.27;0.30;24.14;740.81;19.000;171.63;0.16;26.64;740.81;19.000;171.63;0.16;26.64;857.78;22.000;201.41;0.18;27.00;775.90;20.000;179.71;0.17;26.64;899.73;27.000;168.96;0.14;21.60;1091.72;28.000;256.34;0.21;27.00;1013.74;26.000;238.03;0.20;27.00;1481.62;38.000;347.89;0.27;27.00;662.83;17.000;155.64;0.14;27.00;896.77;23.000;210.57;0.19;27.00;893.29;26.000;171.98;0.13;22.14;758.78;22.000;150.79;0.13;22.85;857.78;22.000;201.41;0.16;27.00;779.80;20.000;183.10;0.15;27.00;752.77;23.000;136.94;0.10;20.92;902.75;25.000;185.14;0.13;23.58;1451.57;43.000;271.50;0.18;21.51;908.73;27.000;171.95;0.10;21.76;779.80;20.000;180.17;0.10;26.57;1520.61;39.000;362.27;0.21;27.40;896.77;23.000;213.82;0.13;27.42;933.81;24.000;221.42;0.12;27.27;623.84;16.000;148.74;0.08;27.42;972.80;25.000;230.71;0.14;27.27;374.91;9.000;89.83;0.05;27.56;472.89;11.000;113.56;0.07;27.62;859.80;20.000;206.48;0.12;27.62;943.63;22.000;225.26;0.14;27.45;607.84;16.000;127.32;0.08;24.09;1344.65;35.000;285.61;0.17;24.43;945.78;22.000;227.13;0.14;27.62;1977.54;46.000;474.90;0.28;27.62;1203.72;28.000;289.07;0.18;27.62;773.82;18.000;185.83;0.13;27.62;857.65;20.000;204.61;0.13;27.44
14723;F/L SWEET CHIL CHSE BREAD;1;65512.54;1 306.000;15339.72;0.23;26.93;1934.55;45.000;447.10;0.60;26.58;1996.41;59.000;439.22;0.40;25.30;1633.62;38.000;377.55;0.37;26.58;1203.72;28.000;278.19;0.27;26.58;1719.60;40.000;397.42;0.35;26.58;1349.23;37.000;238.80;0.22;20.35;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;644.85;15.000;149.03;0.12;26.58;2536.41;59.000;586.20;0.46;26.58;1834.59;41.000;420.70;0.37;26.37;1403.73;27.000;331.77;0.33;27.18;1611.69;31.000;380.92;0.33;27.18;2391.54;46.000;565.24;0.50;27.18;1559.70;30.000;368.64;0.35;27.18;985.21;19.000;231.21;0.21;26.99;1195.77;23.000;286.33;0.25;27.54;933.22;18.000;221.83;0.20;27.34;1559.70;30.000;373.48;0.32;27.54;1455.72;28.000;348.58;0.29;27.54;1351.74;26.000;323.68;0.27;27.54;1715.67;33.000;409.27;0.31;27.43;1297.15;25.000;301.19;0.27;26.70;1039.80;20.000;242.76;0.22;26.85;883.83;17.000;206.35;0.15;26.85;623.88;12.000;145.66;0.12;26.85;1455.72;28.000;339.87;0.27;26.85;1143.78;22.000;267.04;0.22;26.85;829.24;16.000;191.95;0.14;26.62;1195.77;23.000;279.18;0.19;26.85;935.82;18.000;218.49;0.15;26.85;1143.78;22.000;267.04;0.16;26.85;1039.80;20.000;242.76;0.14;26.85;1869.04;36.000;452.15;0.26;27.82;1403.73;27.000;341.18;0.20;27.95;1143.78;22.000;278.00;0.15;27.95;1247.76;24.000;303.27;0.16;27.95;1453.12;28.000;351.56;0.21;27.82;903.84;16.000;215.63;0.12;27.44;1101.81;19.000;261.39;0.16;27.28;1385.96;24.000;325.13;0.19;26.98;1507.74;26.000;357.69;0.22;27.28;1214.89;21.000;286.38;0.18;27.11;1043.82;18.000;247.63;0.15;27.28;1449.75;25.000;343.93;0.21;27.28;2658.84;46.000;625.27;0.37;27.04;1971.66;34.000;467.75;0.30;27.28;1217.79;21.000;288.90;0.20;27.28;1333.77;23.000;316.42;0.20;27.28
14847;F/L RUSK;1;74503.87;803.000;18527.64;0.28;28.60;346.45;5.000;76.04;0.10;25.24;419.94;6.000;94.90;0.09;25.99;579.91;9.000;79.72;0.08;15.81;279.96;4.000;52.32;0.05;21.49;419.94;6.000;78.49;0.07;21.49;1683.78;22.000;413.00;0.38;28.21;1101.91;14.000;289.26;0.25;30.19;0.00;0.000;0.00;0.00;0.00;552.93;7.000;146.35;0.12;30.44;1812.82;23.000;477.43;0.37;30.29;785.95;10.000;205.63;0.18;30.09;1263.84;16.000;334.51;0.34;30.44;1184.85;15.000;313.60;0.27;30.44;473.94;6.000;125.44;0.11;30.44;1195.85;15.000;323.17;0.30;31.08;1747.78;22.000;468.65;0.43;30.84;2235.72;28.000;606.26;0.53;31.18;555.93;7.000;148.96;0.14;30.81;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;2223.72;28.000;595.83;0.49;30.81;1679.79;21.000;457.31;0.35;31.31;2155.73;27.000;584.49;0.53;31.18;2387.70;30.000;642.86;0.59;30.96;2234.76;24.000;796.55;0.60;40.99;1989.80;20.000;774.66;0.65;44.77;1894.81;19.000;511.24;0.41;31.03;2094.79;21.000;475.28;0.39;26.09;1894.81;19.000;429.60;0.31;26.07;1794.82;18.000;406.76;0.28;26.06;1784.82;18.000;398.07;0.27;25.65;1574.84;16.000;343.69;0.21;25.10;2289.77;23.000;516.61;0.30;25.95;1589.84;16.000;356.74;0.21;25.80;2284.77;23.000;512.26;0.31;25.78;2384.76;24.000;535.10;0.28;25.80;2779.72;28.000;622.11;0.32;25.74;2994.72;28.000;718.49;0.42;27.59;2078.81;19.000;503.55;0.29;27.86;2544.26;24.000;578.83;0.35;26.16;2279.52;23.000;444.72;0.26;22.44;2293.29;21.000;552.78;0.34;27.72;978.91;9.000;233.49;0.15;27.43;2078.81;19.000;503.55;0.31;27.86;1858.83;17.000;449.54;0.28;27.81;1963.32;18.000;471.76;0.28;27.63;984.41;9.000;238.27;0.15;27.84;1314.38;12.000;319.29;0.22;27.94;1453.86;14.000;320.46;0.21;25.35
