;;;Totals; ; ; ; ;01/03/22; ; ; ; ;01/04/22; ; ; ; ;01/05/22; ; ; ; ;01/06/22; ; ; ; ;01/07/22; ; ; ; ;01/08/22; ; ; ; ;01/09/22; ; ; ; ;01/10/22; ; ; ; ;01/11/22; ; ; ; ;01/12/22; ; ; ; ;01/01/23; ; ; ; ;01/02/23; ; ; ; ;01/03/23; ; ; ; ;01/04/23; ; ; ; ;01/05/23; ; ; ; ;01/06/23; ; ; ; ;01/07/23; ; ; ; ;01/08/23; ; ; ; ;01/09/23; ; ; ; ;01/10/23; ; ; ; ;01/11/23; ; ; ; ;01/12/23; ; ; ; ;01/01/24; ; ; ; ;01/02/24; ; ; ; ;01/03/24; ; ; ; ;01/04/24; ; ; ; ;01/05/24; ; ; ; ;01/06/24; ; ; ; ;01/07/24; ; ; ; ;01/08/24; ; ; ; ;01/09/24; ; ; ; ;01/10/24; ; ; ; ;01/11/24; ; ; ; ;01/12/24; ; ; ; ;01/01/25; ; ; ; ;01/02/25; ; ; ; ;01/03/25; ; ; ; ;01/04/25; ; ; ; ;01/05/25; ; ; ; ;01/06/25; ; ; ; ;01/07/25; ; ; ; ;01/08/25; ; ; ; ;01/09/25; ; ; ; ;01/10/25; ; ; ; ;01/11/25; ; ; ; ;01/12/25; ; ; ; ;01/01/26; ; ; ; ;01/02/26; ; ; ; ;01/03/26; ; ; ; 
Product Code;Product Description;Department;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %
11132;YB PORK SHLDR B/IN;2;500397.83;7 369.129;102528.92;2.13;23.56;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;39128.23;479.333;9058.89;6.95;26.62;25470.88;366.655;5146.87;6.63;23.24;41830.53;659.592;7033.67;8.90;19.34;52378.57;843.420;12047.12;11.63;26.45;40843.70;657.121;8731.64;10.16;24.58;36801.81;498.779;9390.73;9.37;29.34;47029.89;751.002;8237.23;8.57;20.14;21094.72;353.805;3135.32;3.42;17.09;22514.36;380.973;4029.58;3.78;20.58;21735.61;361.355;3716.14;3.65;19.66;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;3414.39;45.023;853.68;0.68;28.75;41501.15;570.046;10197.21;7.39;28.26;30264.25;385.271;7134.70;5.66;27.11;44019.96;585.725;8269.98;6.32;21.60;32369.78;431.029;5546.15;3.98;19.70;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00
11136;SPAR YB PORK LION WHOLE;2;735127.33;9 051.298;132837.37;2.76;20.78;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;15043.12;165.169;3574.46;2.74;27.33;32424.62;412.632;5741.52;7.40;20.36;32180.01;426.645;4890.85;6.19;17.48;32290.68;379.020;5830.11;5.63;20.76;26115.21;305.298;4425.05;5.15;19.49;27592.00;320.622;5356.23;5.35;22.32;29564.06;335.094;6203.80;6.46;24.13;32618.07;390.822;6453.99;7.04;22.75;41176.57;535.414;7824.87;7.34;21.85;35300.12;421.596;7514.33;7.38;24.48;28393.76;337.380;6630.79;6.66;26.86;41676.30;529.186;7521.85;6.20;20.76;46685.45;540.998;8678.37;5.45;21.38;40506.00;513.463;6636.80;6.69;18.84;53682.54;705.224;9202.51;8.19;19.71;67389.55;942.455;8724.55;6.95;14.89;36634.08;437.103;7770.43;6.18;24.39;35701.20;447.371;6148.77;4.45;19.81;32656.10;372.965;5820.32;4.62;20.50;29992.90;335.041;5034.59;3.84;19.30;17504.99;197.800;2853.18;2.05;18.74;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00
11137;BULK PORK NECK STEAK;2;461393.45;4 988.591;92167.58;1.92;22.97;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;4415.02;54.595;728.13;0.94;18.97;15841.49;174.822;3867.17;4.41;28.07;16474.75;185.835;3380.96;4.15;23.60;12631.59;107.432;3311.16;3.47;30.15;12070.06;117.984;2575.61;2.94;24.54;16753.32;186.012;2653.64;2.93;18.22;14478.20;118.684;3571.17;2.74;28.37;15574.12;161.723;3044.59;3.92;22.48;14913.70;179.824;2095.63;2.65;16.16;26076.03;311.176;4320.56;4.17;19.05;21982.25;263.528;3571.20;4.16;18.68;15761.15;182.870;2784.41;2.78;20.32;18572.58;192.041;4629.82;4.82;28.67;14269.40;147.420;3564.67;3.89;28.73;21969.87;279.823;3459.66;3.25;18.11;19603.67;218.424;4702.62;4.62;27.59;25140.32;280.257;5547.18;5.57;25.37;22287.20;251.512;4008.78;3.30;20.68;22449.35;220.636;5114.20;3.21;26.20;16492.42;161.237;3701.48;3.73;25.81;15755.05;151.268;3718.13;3.31;27.14;26359.24;315.770;3366.60;2.68;14.69;16371.00;163.721;3707.53;2.95;26.04;18969.41;208.256;3653.90;2.65;22.15;16074.72;162.440;3182.67;2.52;22.77;13418.87;125.519;2798.25;2.14;23.98;6688.67;65.782;1107.87;0.80;19.05;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00
11139;PORK HOCKS STEW;2;29310.92;507.475;6500.26;0.14;25.50;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;1746.21;31.755;417.88;0.33;27.52;15942.90;284.487;3231.75;2.47;23.31;11621.81;191.233;2850.63;2.05;28.21;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00
11140;SPAR YB BELLY B/IN;2;49068.76;467.134;10547.99;0.22;24.72;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;3986.79;41.761;756.13;0.58;21.81;5675.93;57.346;1163.73;1.50;23.58;5254.04;54.308;1036.92;1.31;22.70;4293.83;43.274;978.50;0.94;26.21;2560.17;25.631;480.35;0.56;21.58;5733.78;53.868;1215.77;1.21;24.38;1718.45;15.308;422.92;0.44;28.30;201.08;1.828;52.41;0.06;29.97;628.98;5.718;163.93;0.15;29.97;943.72;8.636;242.16;0.24;29.51;0.00;0.000;0.00;0.00;0.00;705.64;5.428;206.59;0.17;33.67;1205.62;9.274;313.26;0.20;29.88;628.16;4.832;159.72;0.16;29.24;1627.73;14.872;370.49;0.33;26.18;813.50;7.387;190.39;0.15;26.91;2475.24;23.083;596.45;0.47;27.71;2712.17;29.497;352.96;0.26;14.97;34.02;0.378;3.88;0.00;13.13;3898.97;32.536;886.65;0.68;26.15;3970.94;32.169;954.76;0.69;27.65;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00
11142; PORK FILLET;2;27680.15;270.544;6293.08;0.13;26.15;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;737.31;7.373;184.02;0.18;28.70;881.14;8.850;217.52;0.25;28.39;1547.31;15.696;373.68;0.37;27.77;111.83;0.766;24.48;0.03;25.18;0.00;0.000;0.00;0.00;0.00;1470.87;17.572;275.05;0.26;21.50;1483.35;16.209;372.22;0.37;28.86;1149.39;12.838;267.92;0.27;26.81;802.32;8.710;191.67;0.16;27.47;969.51;10.014;242.33;0.15;28.74;938.43;9.874;223.70;0.23;27.41;1283.56;13.332;316.37;0.28;28.35;1917.38;22.686;378.18;0.30;22.68;717.02;6.921;177.15;0.14;28.41;1043.78;11.118;147.98;0.11;16.30;1710.02;15.662;324.68;0.26;21.84;3007.96;24.491;1011.81;0.77;38.68;1408.68;10.942;529.98;0.38;43.27;788.68;6.954;136.04;0.12;19.84;2206.55;20.919;163.23;0.13;8.51;916.85;6.489;207.41;0.18;26.02;455.27;3.140;100.77;0.06;25.45;901.76;8.075;183.10;0.18;23.35;1231.18;11.913;243.79;0.26;22.77;0.00;0.000;0.00;0.00;0.00
11147;W/SHIRE  PORK SAUSAGE;2;75687.89;871.618;14444.77;0.30;21.95;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;5671.83;75.466;1053.54;0.84;21.36;6465.14;80.824;1765.53;1.35;31.40;7348.47;91.865;1836.35;1.32;28.74;4568.59;57.113;695.92;0.64;17.52;9042.54;112.328;1432.65;1.17;18.22;8554.36;106.944;664.18;0.58;8.93;13114.77;137.682;2639.05;1.64;23.14;8236.79;82.538;1879.99;1.82;26.25;5070.60;50.708;1043.95;1.12;23.68;7614.80;76.150;1433.60;1.44;21.65
12112;SPAR T&T PICKLED TONGUE;2;14183.09;124.000;2190.90;0.05;17.76;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;692.93;6.728;105.06;0.12;17.44;5940.59;51.423;1260.11;0.97;24.39;245.44;2.116;52.64;0.07;24.66;198.35;1.710;42.54;0.05;24.66;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;3361.96;30.629;448.21;0.28;15.33;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;1022.20;8.626;54.46;0.05;6.13;2721.62;22.768;227.88;0.14;9.63;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00
12113;T&T SALT BEEF;2;10057.19;71.176;946.76;0.02;10.83;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;340.74;2.434;50.45;0.06;17.03;2711.90;19.372;401.47;0.31;17.02;155.95;1.114;23.09;0.03;17.02;257.58;1.840;38.13;0.05;17.02;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;353.53;2.780;21.13;0.02;6.87;1900.81;14.674;182.36;0.11;11.03;179.13;1.120;40.42;0.04;25.95;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;544.51;3.700;29.54;0.03;6.24;3613.04;24.142;160.18;0.10;5.10;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00
