;;;Totals; ; ; ; ;01/03/22; ; ; ; ;01/04/22; ; ; ; ;01/05/22; ; ; ; ;01/06/22; ; ; ; ;01/07/22; ; ; ; ;01/08/22; ; ; ; ;01/09/22; ; ; ; ;01/10/22; ; ; ; ;01/11/22; ; ; ; ;01/12/22; ; ; ; ;01/01/23; ; ; ; ;01/02/23; ; ; ; ;01/03/23; ; ; ; ;01/04/23; ; ; ; ;01/05/23; ; ; ; ;01/06/23; ; ; ; ;01/07/23; ; ; ; ;01/08/23; ; ; ; ;01/09/23; ; ; ; ;01/10/23; ; ; ; ;01/11/23; ; ; ; ;01/12/23; ; ; ; ;01/01/24; ; ; ; ;01/02/24; ; ; ; ;01/03/24; ; ; ; ;01/04/24; ; ; ; ;01/05/24; ; ; ; ;01/06/24; ; ; ; ;01/07/24; ; ; ; ;01/08/24; ; ; ; ;01/09/24; ; ; ; ;01/10/24; ; ; ; ;01/11/24; ; ; ; ;01/12/24; ; ; ; ;01/01/25; ; ; ; ;01/02/25; ; ; ; ;01/03/25; ; ; ; ;01/04/25; ; ; ; ;01/05/25; ; ; ; ;01/06/25; ; ; ; ;01/07/25; ; ; ; ;01/08/25; ; ; ; ;01/09/25; ; ; ; ;01/10/25; ; ; ; ;01/11/25; ; ; ; ;01/12/25; ; ; ; ;01/01/26; ; ; ; ;01/02/26; ; ; ; ;01/03/26; ; ; ; 
Product Code;Product Description;Department;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %
11318;C/FAIR FRSH DRUM&THIGH;24;88558.12;1 156.775;9272.92;0.72;12.04;7798.75;109.962;825.85;5.38;12.18;3902.33;49.744;642.14;3.51;18.92;5119.10;73.142;479.25;2.39;10.77;3637.32;52.068;335.22;2.03;10.60;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;10867.58;155.863;928.26;4.92;9.82;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;10103.89;126.598;1287.43;6.91;14.65;4861.88;60.782;627.52;3.30;14.84;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;5805.13;72.574;573.10;2.68;11.35;2585.40;32.322;255.23;0.89;11.35;0.00;0.000;0.00;0.00;0.00;10139.48;126.965;1103.45;4.17;12.52;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;23737.26;296.755;2215.46;6.26;10.73;0.00;0.000;0.00;0.00;0.00
11324;C/FAIR FRSH PARTY PACK;24;85277.51;1 396.493;9967.92;0.77;13.44;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;4840.94;97.339;405.26;2.52;9.63;5150.17;103.024;451.97;2.39;10.09;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;10866.95;181.974;918.80;4.93;9.72;6011.53;100.208;529.79;2.78;10.13;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;14345.18;239.592;1297.75;4.91;10.40;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;6999.38;116.675;713.70;2.48;11.73;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;37063.36;557.681;5650.65;15.96;17.53;0.00;0.000;0.00;0.00;0.00
11325;C/FAIR FRSH BRSTS FIL 4'S;24;10190.96;132.493;963.50;0.07;10.87;5754.78;76.825;587.35;3.83;11.74;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;4436.18;55.668;376.15;2.02;9.75;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00
11328;C/FAIR FRSH BRAAI 5 PIECE;24;51743.77;855.398;7046.09;0.54;15.66;7389.59;133.975;962.05;6.27;14.97;5172.77;91.766;741.13;4.05;16.48;5679.88;86.714;1012.19;5.05;20.49;1198.16;19.974;143.53;0.87;13.78;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;8405.90;146.427;986.27;5.22;13.49;2421.14;36.117;456.45;1.90;21.68;0.00;0.000;0.00;0.00;0.00;7372.08;123.160;702.84;3.77;10.96;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;8494.62;137.514;999.59;4.14;13.53;1248.28;17.406;262.12;1.28;24.15;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;4361.35;62.345;779.92;3.15;20.56;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00
11330;SPAR SLT CHKN WINGS 8'S;24;199385.35;2 119.050;38416.29;2.97;22.16;3500.32;42.202;700.90;4.57;23.03;3412.88;40.835;681.36;3.72;22.96;3778.00;43.936;768.24;3.83;23.38;4047.76;47.178;817.09;4.95;23.21;4818.28;56.062;978.17;4.33;23.35;5260.64;61.320;1061.61;6.33;23.21;4651.45;51.509;1061.79;6.44;26.25;4070.18;45.385;893.35;5.56;25.24;4143.81;47.896;810.99;4.30;22.51;6503.21;75.627;1245.93;5.19;22.03;4690.21;54.566;897.26;4.55;22.00;4806.18;55.972;916.13;4.92;21.92;4210.38;47.329;747.96;3.28;20.43;5494.81;61.255;958.86;4.75;20.07;3534.30;39.334;620.84;3.33;20.20;4386.18;48.876;766.66;4.03;20.10;4623.31;51.434;829.21;3.43;20.63;3855.39;42.966;686.82;3.34;20.49;3228.19;35.926;578.20;2.20;20.60;4087.16;44.047;747.17;2.87;21.02;4735.91;49.912;870.69;4.08;21.14;5993.37;63.225;1097.93;3.83;21.07;4475.81;47.194;821.36;3.73;21.10;3441.98;36.280;632.49;2.39;21.13;5808.69;61.320;1061.29;4.40;21.01;4153.65;43.888;756.32;3.52;20.94;4122.78;43.504;754.46;2.94;21.04;3859.08;40.724;706.04;2.85;21.04;4239.73;44.706;777.95;3.40;21.10;4722.34;49.738;870.21;2.94;21.19;4209.68;44.432;769.65;2.68;21.03;4536.39;45.524;867.86;2.89;22.00;949.88;9.314;184.69;0.64;22.36;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;851.08;8.030;187.18;0.64;25.29;3521.42;33.224;774.55;2.11;25.29;4682.72;44.181;968.45;3.27;23.78;4962.05;46.816;968.32;3.63;22.44;4276.87;40.352;834.57;2.55;22.44;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;2683.00;26.050;543.89;1.84;23.31;5787.59;55.909;1163.12;3.37;23.11;6014.28;57.835;1199.48;3.07;22.94;5132.54;49.355;1023.69;2.35;22.94;6815.30;65.538;1359.22;3.66;22.94;6334.85;60.918;1263.39;3.57;22.94;5971.72;57.426;1190.97;3.12;22.94
11331;SPAR SLT DRUMS/THIGHS;24;478752.85;5 802.393;71189.95;5.50;17.10;10435.23;146.090;1159.31;7.55;12.78;6117.06;93.021;992.91;5.43;18.67;10768.48;129.239;2020.41;10.07;21.58;9092.86;121.441;1346.78;8.16;17.03;14269.52;158.692;3306.01;14.63;26.64;13992.47;183.265;1951.15;11.63;16.04;16296.31;228.556;1717.21;10.42;12.12;14089.72;172.968;2439.32;15.19;19.91;3364.15;36.733;781.22;4.14;26.71;17219.88;223.758;2321.31;9.67;15.50;9379.11;104.270;1647.15;8.36;20.20;6410.49;71.324;1122.25;6.02;20.13;13878.03;171.477;1974.94;8.66;16.37;10913.63;133.292;1597.33;7.92;16.83;10191.39;128.682;1298.59;6.97;14.65;13824.52;186.272;1460.06;7.67;12.15;15352.17;178.399;2550.54;10.56;19.11;11193.11;124.598;1994.06;9.71;20.49;13674.70;161.474;2127.81;8.11;17.89;12062.37;129.789;2196.18;8.43;20.94;7885.54;83.234;1435.55;6.72;20.94;12465.20;131.228;2291.78;8.00;21.14;8500.36;102.045;1137.35;5.16;15.39;2954.76;36.091;377.73;1.43;14.70;9912.42;116.465;1329.23;5.51;15.42;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;14047.98;178.427;1635.33;6.60;13.39;21886.28;286.953;2968.31;12.96;15.60;13980.74;155.596;3036.69;10.27;24.98;6633.51;73.758;1444.84;5.02;25.05;3071.60;28.980;673.57;2.24;25.22;12880.23;158.227;1479.66;5.13;13.21;13760.00;172.024;1406.21;4.01;11.75;10404.06;113.592;1588.29;5.01;17.56;14130.22;176.651;1373.15;4.67;11.18;10906.98;125.771;1673.44;4.56;17.64;6963.66;87.058;634.82;2.14;10.48;0.00;0.000;0.00;0.00;0.00;11394.68;142.454;1040.17;3.18;10.50;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;11851.13;148.158;1103.39;3.73;10.71;9867.64;123.362;918.67;2.67;10.71;17008.46;188.135;3142.90;8.04;21.25;10018.89;94.527;2860.10;6.57;32.83;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;15703.31;196.317;1634.23;4.28;11.97
11332;SPAR SLT CHKN BRAAIPK 8;24;305361.21;4 551.529;42707.06;3.30;16.08;0.00;0.000;0.00;0.00;0.00;5084.92;84.762;731.62;4.00;16.55;1875.45;28.262;359.03;1.79;22.02;3395.66;52.698;570.83;3.46;19.33;3414.75;48.838;801.11;3.55;26.98;8010.29;137.903;1157.37;6.90;16.62;6491.21;106.483;1082.59;6.57;19.18;1027.01;13.560;257.79;1.61;28.87;0.00;0.000;0.00;0.00;0.00;10372.14;144.831;2388.49;9.95;26.48;13941.96;225.378;1192.78;6.05;9.84;2339.66;36.451;253.37;1.36;12.45;2684.23;37.515;486.74;2.13;20.85;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;2765.12;46.146;253.07;1.23;10.53;13372.32;208.282;1682.95;6.42;14.47;12467.24;179.263;2028.97;7.79;18.72;11331.79;167.156;1363.53;6.39;13.84;15421.01;237.016;1505.82;5.25;11.23;14523.77;233.210;1308.76;5.94;10.36;13952.85;187.612;2445.69;9.24;20.16;15979.22;221.474;2927.36;12.14;21.07;13713.55;171.894;3476.54;16.18;29.15;9106.19;130.525;1533.43;5.98;19.37;7851.06;106.371;1346.36;5.43;19.72;6246.23;78.188;1235.19;5.39;22.74;9333.52;137.448;1361.99;4.61;16.78;9443.73;157.794;945.75;3.29;11.52;3925.00;52.814;654.30;2.18;19.17;5139.18;79.076;525.23;1.82;11.75;173.53;2.018;37.03;0.11;24.54;4597.75;70.745;449.90;1.42;11.25;3393.37;52.214;378.34;1.29;12.82;2190.45;28.476;467.39;1.27;24.54;4125.71;61.013;453.13;1.53;12.63;0.00;0.000;0.00;0.00;0.00;3160.30;36.752;642.15;1.97;23.37;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;9913.99;152.547;927.66;3.14;10.76;15543.89;229.818;1954.41;5.67;14.46;5133.20;73.342;600.49;1.54;13.45;13475.93;201.550;1335.05;3.07;11.39;13617.50;218.310;904.87;2.44;7.64;6826.53;113.794;679.99;1.92;11.46;0.00;0.000;0.00;0.00;0.00
11333;BREAST FILLET;24;331347.40;3 591.518;49114.56;3.80;17.05;8948.10;113.334;1111.00;7.24;14.28;9145.10;121.126;994.50;5.44;12.51;7164.38;81.880;1102.50;5.50;17.70;6314.20;74.421;882.45;5.35;16.07;6654.23;76.726;1013.17;4.48;17.51;9163.33;110.293;1109.07;6.61;13.92;8470.14;101.291;1073.53;6.51;14.58;4512.80;55.717;524.65;3.27;13.37;5078.21;64.112;490.31;2.60;11.10;8821.56;92.283;1495.50;6.23;19.50;10206.54;112.373;1505.72;7.64;16.97;7378.28;78.835;1138.73;6.11;17.75;9645.84;98.147;1549.45;6.80;18.47;8011.78;79.597;1592.31;7.89;22.86;7410.46;88.383;796.00;4.27;12.35;7874.03;82.260;1339.20;7.04;19.56;8363.00;93.189;1186.79;4.91;16.32;8163.45;94.970;996.07;4.85;14.03;6964.00;69.918;571.39;2.18;9.44;10707.49;109.671;1734.21;6.66;18.63;5903.68;68.268;571.56;2.68;11.13;7770.09;73.358;1534.24;5.35;22.71;9613.27;90.760;1898.16;8.61;22.71;4521.97;42.664;894.90;3.38;22.76;5701.43;53.792;1128.31;4.68;22.76;6742.57;63.670;1382.96;6.44;23.59;7475.65;91.286;772.67;3.01;11.89;7196.50;72.329;1329.58;5.37;21.25;2125.54;22.821;349.49;1.53;18.91;0.00;0.000;0.00;0.00;0.00;2193.87;20.752;430.38;1.50;22.56;6066.36;75.838;553.16;1.84;10.49;8491.80;99.195;813.43;2.82;11.02;4014.15;42.419;658.21;1.88;18.86;6194.95;58.564;1106.24;3.49;20.54;1668.88;14.388;367.34;1.25;25.31;7793.74;76.921;1291.50;3.52;19.06;6801.01;75.840;928.41;3.13;15.70;3918.93;48.992;278.71;1.05;8.18;5898.41;68.594;550.83;1.69;10.74;10912.66;115.179;1382.69;3.10;14.57;1303.01;11.532;264.34;0.78;23.33;4377.91;39.159;864.32;2.92;22.70;5142.86;52.748;844.32;2.45;18.88;8012.43;78.352;1401.71;3.58;20.12;7796.53;74.298;1394.41;3.20;20.57;8895.40;107.123;954.76;2.57;12.34;4179.96;43.937;672.36;1.90;18.50;11636.92;110.213;2289.04;5.99;22.62
11334;SPAR SLT BREAST FLT 4'S;24;357286.67;3 906.840;53179.56;4.11;17.12;2597.42;30.665;422.89;2.76;18.72;8414.89;111.313;922.18;5.04;12.60;8391.87;95.211;1327.92;6.62;18.20;8181.93;95.390;1208.16;7.32;16.98;7800.78;90.373;1160.35;5.14;17.11;8066.87;97.366;957.61;5.71;13.65;5927.07;69.417;837.44;5.08;16.25;5592.22;69.399;646.25;4.02;13.29;7060.26;85.442;863.88;4.58;14.07;7814.55;82.481;1297.18;5.41;19.09;8308.56;89.988;1255.85;6.37;17.38;4292.37;48.648;519.62;2.79;13.92;6466.46;68.135;1039.77;4.56;18.49;7525.23;82.265;1140.61;5.65;17.43;8132.55;94.164;978.25;5.25;13.83;8635.43;91.494;1426.18;7.49;18.99;8064.33;89.726;1154.25;4.78;16.46;6956.09;80.440;866.19;4.22;14.32;8400.88;87.817;1409.40;5.37;19.29;6601.07;68.146;1033.25;3.97;18.00;7521.38;87.926;716.53;3.36;10.96;7403.29;70.988;1423.03;4.96;22.10;6950.45;65.576;1375.51;6.24;22.76;7645.41;72.198;1508.41;5.70;22.69;6419.05;60.698;1260.69;5.23;22.59;7424.32;79.294;1194.39;5.56;18.50;6683.89;73.526;1131.12;4.41;19.46;7196.40;82.383;961.24;3.88;15.36;9359.42;105.608;1408.58;6.15;17.31;8901.53;102.882;1040.95;3.52;13.45;1640.08;15.474;324.56;1.13;22.76;6117.99;76.490;557.46;1.86;10.48;8184.43;94.863;857.90;2.98;12.05;4570.58;49.375;684.62;1.95;17.23;7614.42;70.255;1458.19;4.60;22.02;2691.20;23.202;592.35;2.02;25.31;7273.33;74.405;1136.17;3.10;17.96;9089.75;102.980;1187.23;4.01;15.02;9301.10;102.933;1161.92;4.36;14.37;9362.68;101.435;1188.06;3.64;14.59;11079.92;116.692;1402.27;3.14;14.55;1604.45;14.200;325.48;0.96;23.33;6145.76;57.591;1148.38;3.88;21.49;6886.25;83.020;613.60;1.78;10.25;6980.04;71.048;1390.22;3.55;22.90;8005.91;78.500;1791.47;4.11;25.73;12100.09;148.657;1267.46;3.41;12.05;9903.10;98.712;1749.34;4.94;20.31;9999.62;98.049;1855.17;4.86;21.34
