;;;Totals; ; ; ; ;01/03/22; ; ; ; ;01/04/22; ; ; ; ;01/05/22; ; ; ; ;01/06/22; ; ; ; ;01/07/22; ; ; ; ;01/08/22; ; ; ; ;01/09/22; ; ; ; ;01/10/22; ; ; ; ;01/11/22; ; ; ; ;01/12/22; ; ; ; ;01/01/23; ; ; ; ;01/02/23; ; ; ; ;01/03/23; ; ; ; ;01/04/23; ; ; ; ;01/05/23; ; ; ; ;01/06/23; ; ; ; ;01/07/23; ; ; ; ;01/08/23; ; ; ; ;01/09/23; ; ; ; ;01/10/23; ; ; ; ;01/11/23; ; ; ; ;01/12/23; ; ; ; ;01/01/24; ; ; ; ;01/02/24; ; ; ; ;01/03/24; ; ; ; ;01/04/24; ; ; ; ;01/05/24; ; ; ; ;01/06/24; ; ; ; ;01/07/24; ; ; ; ;01/08/24; ; ; ; ;01/09/24; ; ; ; ;01/10/24; ; ; ; ;01/11/24; ; ; ; ;01/12/24; ; ; ; ;01/01/25; ; ; ; ;01/02/25; ; ; ; ;01/03/25; ; ; ; ;01/04/25; ; ; ; ;01/05/25; ; ; ; ;01/06/25; ; ; ; ;01/07/25; ; ; ; ;01/08/25; ; ; ; ;01/09/25; ; ; ; ;01/10/25; ; ; ; ;01/11/25; ; ; ; ;01/12/25; ; ; ; ;01/01/26; ; ; ; ;01/02/26; ; ; ; ;01/03/26; ; ; ; 
Product Code;Product Description;Department;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %
11762;F/LINE RED ECONO PACK;4;154197.09;5 233.000;38199.27;0.71;24.77;3804.01;149.000;919.47;1.06;24.17;3658.17;183.000;745.67;0.84;20.38;2984.85;140.000;760.69;0.89;25.49;3105.05;145.000;903.04;1.17;29.08;3168.69;131.000;1012.73;1.22;31.96;3960.76;174.000;1083.27;1.28;27.35;3879.33;157.000;1069.63;1.19;27.57;3011.57;123.000;731.63;0.74;24.29;3559.69;131.000;1045.92;0.98;29.38;3709.76;124.000;996.34;0.83;26.86;3016.53;97.000;826.47;0.73;27.40;2935.40;85.000;845.87;0.86;28.82;4006.01;144.000;983.22;1.00;24.54;4289.38;162.000;1343.11;1.27;31.31;3641.99;151.000;1017.87;1.02;27.95;2734.50;115.000;726.64;0.79;26.57;2030.53;72.000;494.93;0.54;24.37;3413.75;125.000;805.16;0.79;23.59;3530.34;111.000;1023.14;0.96;28.98;3972.43;122.000;1040.75;0.94;26.20;4183.91;124.000;1070.19;0.92;25.58;2327.82;63.000;529.13;0.46;22.73;275.93;7.000;47.98;0.04;17.39;1480.40;60.000;257.84;0.25;17.42;1885.24;76.000;406.44;0.39;21.56;3285.87;133.000;762.68;0.81;23.21;2372.27;93.000;574.27;0.58;24.21;2255.60;80.000;569.92;0.63;25.27;2334.04;71.000;708.35;0.75;30.35;3407.96;109.000;943.38;0.91;27.68;3608.90;110.000;954.11;0.93;26.44;5027.38;162.000;1061.84;0.89;21.12;3904.17;113.000;914.22;0.76;23.42;3469.13;87.000;646.18;0.50;18.63;4660.37;113.000;799.67;0.59;17.16;4065.79;96.000;739.65;0.59;18.19;4226.47;128.000;1004.63;0.73;23.77;3614.38;127.000;932.06;0.79;25.79;3097.86;95.000;893.12;0.72;28.83;2054.79;56.000;687.08;0.66;33.44;1790.15;50.000;555.77;0.49;31.05;2713.55;95.000;603.62;0.48;22.24;3166.24;101.000;744.22;0.60;23.50;2717.29;71.000;606.12;0.48;22.31;2663.33;67.000;560.50;0.41;21.04;2033.49;51.000;286.62;0.19;14.09;2331.80;60.000;372.01;0.26;15.95;3281.16;84.000;465.23;0.41;14.18;3549.06;110.000;1126.89;0.90;31.75
11763;F/L GOLDEN DELICIOUS1.5KG;4;118728.27;4 148.000;28549.94;0.53;24.05;1952.70;80.000;442.26;0.51;22.65;2958.52;148.000;616.80;0.69;20.85;1872.89;86.000;496.70;0.58;26.52;2080.76;99.000;494.47;0.64;23.76;2522.70;105.000;772.83;0.93;30.63;2786.52;123.000;718.16;0.85;25.77;2918.46;114.000;729.64;0.81;25.00;2737.30;110.000;645.22;0.65;23.57;3528.73;127.000;1076.22;1.01;30.50;2688.60;90.000;751.31;0.63;27.94;3899.46;154.000;838.32;0.74;21.50;2858.29;113.000;835.68;0.85;29.24;3125.49;127.000;917.39;0.93;29.35;2448.57;93.000;768.96;0.72;31.40;1763.74;76.000;425.25;0.42;24.11;1974.27;83.000;451.71;0.49;22.88;1802.88;62.000;437.69;0.48;24.28;2979.93;107.000;728.53;0.71;24.45;2202.61;74.000;472.27;0.44;21.44;3106.71;99.000;710.27;0.64;22.86;3457.69;106.000;773.67;0.67;22.38;3042.38;87.000;603.77;0.52;19.85;1674.27;48.000;320.39;0.29;19.14;1770.59;66.000;320.88;0.31;18.12;988.60;40.000;213.38;0.20;21.58;2443.06;99.000;600.68;0.64;24.59;1979.81;79.000;457.78;0.46;23.12;2229.49;81.000;545.95;0.61;24.49;1972.80;60.000;571.45;0.61;28.97;2685.35;85.000;691.75;0.67;25.76;3050.34;96.000;740.53;0.72;24.28;3791.81;119.000;898.13;0.76;23.69;3127.39;91.000;795.02;0.66;25.42;3077.32;83.000;714.37;0.55;23.21;4074.98;102.000;692.20;0.51;16.99;3417.11;89.000;735.18;0.59;21.51;2143.35;70.000;537.18;0.39;25.06;2387.48;101.000;483.08;0.41;20.23;1781.06;70.000;386.13;0.31;21.68;768.03;22.000;219.12;0.21;28.53;1431.09;41.000;410.96;0.36;28.72;1417.82;43.000;385.64;0.31;27.20;1757.28;57.000;394.85;0.32;22.47;1891.50;50.000;455.70;0.36;24.09;2103.46;54.000;494.53;0.36;23.51;2515.32;68.000;564.39;0.38;22.44;1173.16;34.000;217.18;0.15;18.51;1464.99;41.000;264.06;0.23;18.02;2901.61;96.000;732.28;0.58;25.24
11764;F/LINE GRANNY ECO PACKS;4;30854.80;875.000;7712.55;0.14;25.00;949.74;26.000;288.26;0.33;30.35;665.82;18.000;207.87;0.23;31.22;239.92;8.000;64.24;0.08;26.77;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;547.28;22.000;162.76;0.19;29.74;422.33;17.000;119.73;0.13;28.35;551.80;20.000;156.59;0.16;28.38;618.39;21.000;158.63;0.15;25.65;825.97;23.000;223.05;0.19;27.00;143.96;4.000;38.60;0.03;26.81;215.94;6.000;57.90;0.06;26.81;312.36;9.000;83.02;0.08;26.58;664.81;19.000;182.67;0.17;27.48;329.90;10.000;88.63;0.09;26.87;64.98;2.000;20.47;0.02;31.50;269.91;9.000;73.92;0.08;27.39;658.28;22.000;189.35;0.19;28.76;880.21;29.000;253.78;0.24;28.83;857.74;26.000;229.43;0.21;26.75;935.94;26.000;237.40;0.21;25.37;749.80;20.000;175.64;0.15;23.42;1025.73;27.000;231.23;0.21;22.54;1023.83;27.000;229.33;0.22;22.40;797.79;21.000;188.15;0.18;23.58;965.74;26.000;263.72;0.28;27.31;694.81;19.000;197.46;0.20;28.42;341.89;11.000;92.60;0.10;27.08;389.87;13.000;110.43;0.12;28.33;684.79;21.000;189.76;0.18;27.71;696.30;20.000;198.52;0.19;28.51;1119.68;32.000;300.41;0.25;26.83;959.73;27.000;240.31;0.20;25.04;1439.64;36.000;273.40;0.21;18.99;0.00;0.000;0.00;0.00;0.00;539.88;12.000;86.30;0.07;15.99;44.99;1.000;7.19;0.01;15.99;864.77;23.000;225.56;0.19;26.08;783.02;23.000;232.78;0.19;29.73;559.84;16.000;170.11;0.16;30.39;768.03;22.000;194.68;0.17;25.35;909.74;26.000;232.14;0.19;25.52;546.85;15.000;114.70;0.09;20.97;633.84;16.000;124.91;0.10;19.71;1159.71;29.000;221.02;0.16;19.06;1359.66;34.000;259.13;0.17;19.06;719.82;18.000;134.10;0.09;18.63;599.85;15.000;119.57;0.11;19.93;319.92;8.000;63.10;0.05;19.72
11767;F/L APPLE GOLDEN DEL SNACK;4;45344.20;2 224.000;14373.12;0.27;31.70;478.76;24.000;184.23;0.21;38.48;159.92;8.000;61.74;0.07;38.61;1073.18;82.000;316.09;0.37;29.45;521.65;35.000;199.51;0.26;38.25;696.04;46.000;242.28;0.29;34.81;401.15;25.000;117.28;0.14;29.24;641.37;38.000;190.58;0.21;29.72;1095.68;62.000;346.88;0.35;31.66;777.61;39.000;275.63;0.26;35.45;956.52;48.000;287.80;0.24;30.09;996.50;50.000;294.69;0.26;29.57;858.57;43.000;253.76;0.26;29.56;945.26;60.000;295.75;0.30;31.29;575.96;34.000;225.19;0.21;39.10;945.42;61.000;346.43;0.35;36.64;756.52;48.000;386.29;0.42;51.06;1230.38;62.000;356.30;0.39;28.96;1335.33;67.000;390.76;0.38;29.26;1277.36;64.000;372.40;0.35;29.15;1315.34;66.000;372.28;0.33;28.30;1297.27;58.000;390.21;0.34;30.08;1393.38;57.000;413.99;0.36;29.71;257.30;10.000;74.60;0.07;28.99;1086.38;42.000;319.04;0.31;29.37;1312.65;93.000;418.55;0.40;31.89;1305.07;84.000;417.46;0.44;31.99;497.72;28.000;156.30;0.16;31.40;308.84;16.000;98.42;0.11;31.87;699.65;35.000;227.07;0.24;32.45;577.71;29.000;181.62;0.18;31.44;626.56;29.000;206.63;0.20;32.98;711.54;31.000;257.53;0.22;36.19;1300.94;56.000;431.61;0.36;33.18;1376.79;51.000;440.06;0.34;31.96;1679.44;56.000;511.88;0.38;30.48;1016.66;34.000;332.76;0.27;32.73;1826.50;72.000;661.99;0.48;36.24;684.57;28.000;244.12;0.21;35.66;812.60;40.000;234.53;0.19;28.86;638.68;32.000;187.84;0.18;29.41;952.56;49.000;272.67;0.24;28.62;917.54;46.000;255.33;0.20;27.83;666.55;30.000;211.84;0.17;31.78;688.82;28.000;220.70;0.18;32.04;1045.83;42.000;321.57;0.24;30.75;1023.34;41.000;310.99;0.21;30.39;1535.64;61.000;452.47;0.32;29.46;1062.22;38.000;307.68;0.27;28.97;1002.93;46.000;297.75;0.24;29.69
11768;F/L APPLES RED SNACK PK;4;71094.54;3 456.000;22490.97;0.42;31.64;877.56;44.000;337.60;0.39;38.47;499.75;25.000;192.95;0.22;38.61;1671.65;135.000;428.19;0.50;25.61;358.26;24.000;137.37;0.18;38.34;658.06;44.000;253.09;0.30;38.46;1807.25;150.000;469.08;0.55;25.96;1132.38;67.000;337.57;0.38;29.81;1353.68;77.000;424.27;0.43;31.34;1535.23;77.000;553.48;0.52;36.05;1315.34;66.000;395.85;0.33;30.09;1296.35;65.000;383.39;0.34;29.57;1278.36;64.000;367.52;0.37;28.75;2040.70;125.000;632.55;0.64;31.00;1801.78;107.000;697.32;0.66;38.70;1929.10;120.000;748.66;0.75;38.81;1088.84;66.000;434.86;0.47;39.94;1817.09;91.000;588.38;0.64;32.38;2048.97;103.000;658.23;0.64;32.13;1577.21;79.000;502.22;0.47;31.84;1417.29;71.000;406.75;0.37;28.70;2037.34;91.000;608.17;0.53;29.85;1729.41;69.000;502.17;0.43;29.04;1299.90;50.000;384.77;0.35;29.60;1537.08;57.000;464.65;0.46;30.23;1241.11;85.000;412.67;0.39;33.25;1671.90;107.000;530.98;0.56;31.76;829.53;47.000;261.54;0.26;31.53;608.78;32.000;193.57;0.21;31.80;929.53;47.000;294.92;0.31;31.73;1099.45;55.000;348.90;0.34;31.73;1156.32;53.000;379.31;0.37;32.80;1901.27;83.000;609.30;0.51;32.05;1637.85;70.000;472.79;0.39;28.87;1997.86;74.000;564.03;0.43;28.23;2688.60;90.000;812.16;0.60;30.21;1851.88;62.000;601.49;0.48;32.48;2207.26;74.000;821.38;0.60;37.21;2287.63;87.000;840.58;0.71;36.74;1666.22;78.000;510.18;0.41;30.62;1075.46;54.000;311.04;0.30;28.92;1083.51;56.000;327.78;0.29;30.25;1197.40;60.000;333.65;0.27;27.86;1585.68;72.000;473.22;0.38;29.84;1566.60;60.000;387.13;0.31;24.71;1539.97;53.000;468.71;0.34;30.44;1225.09;41.000;390.62;0.26;31.89;1016.66;34.000;324.66;0.23;31.93;1521.99;51.000;483.99;0.43;31.80;1398.41;64.000;427.27;0.34;30.55
12863;FRESHLINE PINK LADY APPLES 1KG;4;69776.26;2 379.000;19725.77;0.37;28.27;0.00;0.000;0.00;0.00;0.00;107.96;4.000;29.15;0.03;27.00;2173.35;95.000;637.77;0.74;29.35;633.37;23.000;183.75;0.24;29.01;1197.97;43.000;350.72;0.42;29.28;1619.22;58.000;476.42;0.56;29.42;1841.74;66.000;541.32;0.60;29.39;1489.80;60.000;358.53;0.36;24.07;1462.58;52.000;433.41;0.41;29.63;1169.61;39.000;358.10;0.30;30.62;1911.86;64.000;580.15;0.51;30.34;1554.98;52.000;472.96;0.48;30.42;179.94;6.000;55.09;0.06;30.62;59.98;2.000;26.81;0.03;44.69;923.82;33.000;318.12;0.32;34.44;1826.85;75.000;467.86;0.51;25.61;2873.21;109.000;795.28;0.87;27.68;2148.78;72.000;678.65;0.66;31.58;1405.03;47.000;516.26;0.48;36.74;1895.06;94.000;279.29;0.25;14.74;2333.64;81.000;672.84;0.58;28.83;2269.13;67.000;723.16;0.62;31.87;2162.69;81.000;511.06;0.46;23.63;419.88;12.000;127.56;0.13;30.38;0.00;0.000;0.00;0.00;0.00;748.45;30.000;215.40;0.23;28.78;804.70;30.000;253.02;0.26;31.44;1410.60;55.000;349.58;0.39;24.78;646.41;24.000;177.07;0.19;27.39;1098.49;41.000;296.70;0.29;27.01;1650.93;57.000;479.36;0.47;29.04;2592.63;87.000;767.54;0.65;29.60;2355.71;79.000;681.35;0.57;28.92;1283.57;43.000;258.98;0.20;20.18;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;2132.20;80.000;502.80;0.40;23.58;2320.15;85.000;622.99;0.60;26.85;2471.07;73.000;842.24;0.74;34.08;2857.58;92.000;849.92;0.68;29.74;2379.22;78.000;623.49;0.50;26.21;2626.29;71.000;668.25;0.53;25.44;3231.19;81.000;935.98;0.69;28.97;1515.62;38.000;429.07;0.29;28.31;2713.32;68.000;798.85;0.56;29.44;1277.68;32.000;378.90;0.33;29.66;0.00;0.000;0.00;0.00;0.00
14381;FRESHLINE MINI PLUM TOMS;4;105019.48;5 176.000;30065.52;0.56;28.63;1542.79;121.000;279.19;0.32;18.10;1075.31;49.000;310.67;0.35;28.89;1112.35;55.000;336.99;0.39;30.30;1056.47;53.000;354.02;0.46;33.51;1353.47;73.000;435.34;0.52;32.17;1219.76;64.000;388.26;0.46;31.83;1834.08;92.000;592.58;0.66;32.31;2398.89;131.000;772.80;0.78;32.22;1589.56;84.000;526.33;0.49;33.11;2996.50;150.000;1150.93;0.96;38.41;2094.95;105.000;803.05;0.71;38.33;1761.08;92.000;738.55;0.75;41.94;2129.85;100.000;568.57;0.58;26.70;1601.25;70.000;452.90;0.43;28.28;1432.05;65.000;403.74;0.40;28.19;1246.56;64.000;349.73;0.38;28.06;1116.04;71.000;338.61;0.37;30.34;1048.55;70.000;325.48;0.32;31.04;1293.90;85.000;380.94;0.36;29.44;2011.05;95.000;420.73;0.38;20.92;1997.26;74.000;527.30;0.46;26.40;4395.32;163.000;1200.95;1.04;27.32;2501.97;93.000;698.57;0.63;27.92;2110.78;92.000;914.03;0.90;43.30;2120.07;158.000;534.32;0.51;25.20;1171.25;60.000;353.51;0.37;30.18;1611.19;81.000;445.79;0.45;27.67;1316.60;90.000;262.91;0.29;19.97;1962.19;131.000;198.41;0.21;10.11;1672.05;95.000;409.45;0.40;24.49;2907.13;176.000;819.68;0.80;28.20;4086.68;208.000;1308.13;1.10;32.01;3757.93;208.000;1270.11;1.06;33.80;5145.56;242.000;1301.00;1.00;25.28;2019.11;89.000;576.67;0.42;28.56;2148.92;108.000;594.89;0.48;27.68;2591.70;130.000;750.48;0.54;28.96;804.05;35.000;208.11;0.18;25.88;1738.97;73.000;428.85;0.34;24.66;742.89;31.000;256.28;0.25;34.50;1505.27;103.000;389.41;0.34;25.87;1509.06;94.000;375.99;0.30;24.92;2870.21;146.000;1038.40;0.84;36.18;3224.69;126.000;832.77;0.67;25.82;4917.04;196.000;1367.18;1.00;27.80;4810.48;167.000;1219.60;0.82;25.35;2947.62;113.000;727.64;0.51;24.69;1857.54;104.000;531.69;0.47;28.62;2661.49;101.000;593.95;0.47;22.32
14383;F/L TOMATO L/LIFE;4;97161.96;3 566.000;26815.07;0.50;27.60;1989.23;77.000;482.81;0.56;24.27;2454.68;102.000;591.15;0.67;24.08;1926.68;87.000;635.13;0.74;32.97;2049.15;85.000;403.41;0.52;19.69;1462.23;62.000;431.32;0.52;29.50;2383.32;93.000;621.89;0.73;26.09;3559.46;129.000;896.47;1.00;25.19;2923.86;109.000;910.99;0.92;31.16;1798.70;70.000;384.27;0.36;21.36;3273.43;117.000;812.91;0.68;24.83;1908.58;72.000;571.95;0.51;29.97;2321.39;86.000;676.61;0.69;29.15;2202.58;92.000;521.63;0.53;23.68;2817.56;94.000;847.66;0.80;30.08;2360.84;81.000;718.02;0.72;30.41;1570.62;63.000;510.65;0.55;32.51;1776.53;72.000;537.05;0.59;30.23;2101.47;93.000;669.70;0.65;31.87;1263.98;57.000;455.32;0.43;36.02;1847.88;62.000;454.77;0.41;24.61;2834.92;98.000;823.13;0.71;29.04;3284.38;122.000;954.39;0.82;29.06;2321.78;82.000;732.69;0.66;31.56;1112.58;42.000;300.54;0.29;27.01;2507.76;94.000;530.90;0.51;21.17;2669.21;94.000;513.91;0.54;19.25;2049.69;66.000;480.81;0.49;23.46;1493.76;54.000;455.11;0.51;30.47;1408.72;53.000;409.89;0.44;29.10;1840.96;69.000;615.03;0.59;33.41;1601.88;62.000;456.21;0.45;28.48;2218.11;79.000;712.71;0.60;32.13;1908.55;61.000;626.31;0.52;32.82;1713.43;53.000;529.46;0.41;30.90;1295.60;40.000;455.41;0.33;35.15;1227.58;38.000;422.34;0.34;34.40;1672.43;51.000;401.20;0.29;23.99;1403.98;42.000;185.72;0.16;13.23;1108.13;37.000;198.10;0.16;17.88;869.71;29.000;231.08;0.22;26.57;1675.33;57.000;491.44;0.43;29.33;1022.11;39.000;380.09;0.30;37.19;1243.26;49.000;449.01;0.36;36.12;2601.63;87.000;472.56;0.38;18.16;2214.76;74.000;671.72;0.49;30.33;2205.72;78.000;745.55;0.50;33.80;1988.51;74.000;635.40;0.45;31.95;1468.83;57.000;491.40;0.43;33.46;2206.48;82.000;309.25;0.25;14.02
14384;F/LINE CHERRY TOMS 250GR;4;46783.53;2 289.000;13211.91;0.25;28.24;813.55;45.000;251.14;0.29;30.87;1531.55;130.000;-13.31;-0.01;-0.87;816.48;37.000;229.91;0.27;28.16;343.70;15.000;126.82;0.16;36.90;795.62;38.000;289.09;0.35;36.34;917.66;49.000;329.36;0.39;35.89;1506.16;89.000;505.31;0.56;33.55;674.55;45.000;209.81;0.21;31.10;881.65;45.000;318.32;0.30;36.10;1307.87;73.000;431.60;0.36;33.00;1551.99;111.000;463.46;0.41;29.86;1210.45;87.000;301.66;0.31;24.92;948.89;56.000;276.68;0.28;29.16;1153.62;68.000;337.37;0.32;29.24;1049.98;62.000;305.75;0.31;29.12;645.21;39.000;195.21;0.21;30.25;823.66;54.000;256.92;0.28;31.19;930.73;72.000;263.15;0.26;28.27;1166.50;90.000;332.02;0.31;28.46;142.89;11.000;40.90;0.04;28.62;0.00;0.000;0.00;0.00;0.00;2773.69;106.000;774.29;0.67;27.92;1402.13;52.000;369.19;0.33;26.33;1879.07;73.000;536.94;0.53;28.57;71.97;3.000;21.80;0.02;30.29;0.00;0.000;0.00;0.00;0.00;390.83;17.000;107.90;0.11;27.61;1193.18;52.000;327.73;0.36;27.47;689.70;30.000;190.40;0.20;27.61;1652.98;72.000;454.67;0.44;27.51;870.17;38.000;237.73;0.23;27.32;1971.39;86.000;540.07;0.45;27.40;1628.84;71.000;447.17;0.37;27.45;2748.44;106.000;826.29;0.64;30.06;1449.85;55.000;417.30;0.31;28.78;1615.35;60.000;449.11;0.36;27.80;832.64;31.000;237.86;0.17;28.57;0.00;0.000;0.00;0.00;0.00;359.88;12.000;68.32;0.05;18.98;896.70;30.000;246.52;0.24;27.49;503.33;17.000;169.50;0.15;33.67;399.84;16.000;119.94;0.10;30.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;431.88;12.000;116.48;0.08;26.97;1529.52;48.000;385.57;0.27;25.21;1440.25;55.000;460.38;0.40;31.97;839.19;31.000;255.58;0.20;30.46
