;;;Totals; ; ; ; ;01/03/22; ; ; ; ;01/04/22; ; ; ; ;01/05/22; ; ; ; ;01/06/22; ; ; ; ;01/07/22; ; ; ; ;01/08/22; ; ; ; ;01/09/22; ; ; ; ;01/10/22; ; ; ; ;01/11/22; ; ; ; ;01/12/22; ; ; ; ;01/01/23; ; ; ; ;01/02/23; ; ; ; ;01/03/23; ; ; ; ;01/04/23; ; ; ; ;01/05/23; ; ; ; ;01/06/23; ; ; ; ;01/07/23; ; ; ; ;01/08/23; ; ; ; ;01/09/23; ; ; ; ;01/10/23; ; ; ; ;01/11/23; ; ; ; ;01/12/23; ; ; ; ;01/01/24; ; ; ; ;01/02/24; ; ; ; ;01/03/24; ; ; ; ;01/04/24; ; ; ; ;01/05/24; ; ; ; ;01/06/24; ; ; ; ;01/07/24; ; ; ; ;01/08/24; ; ; ; ;01/09/24; ; ; ; ;01/10/24; ; ; ; ;01/11/24; ; ; ; ;01/12/24; ; ; ; ;01/01/25; ; ; ; ;01/02/25; ; ; ; ;01/03/25; ; ; ; ;01/04/25; ; ; ; ;01/05/25; ; ; ; ;01/06/25; ; ; ; ;01/07/25; ; ; ; ;01/08/25; ; ; ; ;01/09/25; ; ; ; ;01/10/25; ; ; ; ;01/11/25; ; ; ; ;01/12/25; ; ; ; ;01/01/26; ; ; ; ;01/02/26; ; ; ; ;01/03/26; ; ; ; 
Product Code;Product Description;Department;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %
11167;MCCAIN COUNTRY CROP;7;51106.34;1 041.000;10423.93;0.63;20.40;1932.17;58.000;166.90;0.69;8.64;1345.20;30.000;344.67;1.53;25.62;492.64;11.000;125.78;0.38;25.53;1292.40;35.000;125.12;0.41;9.68;2464.33;67.000;229.81;1.17;9.33;1034.77;23.000;267.70;1.64;25.87;1813.62;38.000;454.11;1.75;25.04;1371.72;28.000;338.63;1.22;24.69;438.46;9.000;106.40;0.31;24.27;1026.34;21.000;251.52;0.58;24.51;979.80;20.000;241.88;0.66;24.69;678.51;14.000;161.96;0.43;23.87;1273.74;26.000;314.44;0.88;24.69;636.87;13.000;157.22;0.43;24.69;0.00;0.000;0.00;0.00;0.00;599.88;12.000;150.86;1.03;25.15;449.91;9.000;114.81;0.51;25.52;744.85;15.000;186.34;0.56;25.02;699.86;14.000;178.59;0.52;25.52;549.89;11.000;140.32;0.41;25.52;899.82;18.000;229.61;0.58;25.52;1447.21;29.000;301.08;0.68;20.80;1049.79;21.000;218.12;0.52;20.78;1139.74;26.000;110.05;0.26;9.66;1403.70;30.000;215.60;0.60;15.36;899.82;18.000;186.96;0.63;20.78;697.36;14.000;140.52;0.39;20.15;1147.27;23.000;222.62;2.54;19.40;1749.65;35.000;353.96;1.32;20.23;1497.20;30.000;292.94;1.00;19.57;1229.77;23.000;252.07;0.86;20.50;989.82;18.000;205.40;0.40;20.75;1429.74;26.000;288.74;0.71;20.20;437.17;8.000;86.09;0.17;19.69;604.89;11.000;122.16;0.33;20.20;934.83;17.000;188.79;0.49;20.20;549.90;10.000;111.06;0.30;20.20;1429.74;26.000;288.74;0.89;20.20;602.14;11.000;119.41;0.43;19.83;989.82;18.000;199.90;0.69;20.20;987.07;18.000;197.15;0.47;19.97;1264.77;23.000;255.43;0.74;20.20;1314.26;24.000;261.03;0.92;19.86;706.88;12.000;156.13;0.46;22.09;359.94;6.000;83.47;0.18;23.19;1139.81;19.000;264.31;0.55;23.19;779.87;13.000;180.85;0.38;23.19;1679.72;28.000;389.52;1.13;23.19;1919.68;32.000;445.16;1.10;23.19
11168;MCCAIN GARDEN MIX;7;28725.83;617.000;6077.12;0.37;21.16;1874.42;58.000;124.18;0.51;6.62;1212.48;27.000;312.00;1.39;25.73;404.91;9.000;104.75;0.31;25.87;944.75;25.000;110.98;0.36;11.75;2119.44;56.000;252.55;1.29;11.92;1032.52;23.000;265.45;1.63;25.71;704.85;15.000;183.31;0.71;26.01;549.89;11.000;144.03;0.52;26.19;397.42;8.000;102.25;0.30;25.73;699.86;14.000;183.31;0.42;26.19;549.89;11.000;144.03;0.39;26.19;249.95;5.000;65.47;0.17;26.19;549.89;11.000;144.03;0.40;26.19;997.30;20.000;259.38;0.70;26.01;1299.74;26.000;340.44;1.15;26.19;1147.27;23.000;298.66;2.04;26.03;944.81;19.000;241.53;1.07;25.56;799.84;16.000;204.10;0.61;25.52;1097.28;22.000;278.14;0.82;25.35;749.85;15.000;191.34;0.56;25.52;1347.23;27.000;341.92;0.86;25.38;899.82;18.000;201.18;0.46;22.36;497.40;10.000;101.37;0.24;20.38;827.82;18.000;114.96;0.27;13.89;675.86;14.000;121.41;0.34;17.96;699.86;14.000;145.41;0.49;20.78;397.42;8.000;78.80;0.22;19.83;499.90;10.000;97.88;1.12;19.58;397.42;8.000;77.00;0.29;19.38;97.48;2.000;17.08;0.06;17.52;924.83;17.000;191.66;0.65;20.72;1374.75;25.000;283.14;0.55;20.60;824.85;15.000;166.58;0.41;20.20;329.94;6.000;66.63;0.13;20.20;604.89;11.000;122.16;0.33;20.20;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00
11169;MCCAIN MIX VEGETABLES;7;38414.83;827.000;6891.22;0.42;17.94;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;1178.54;31.000;199.56;0.65;16.93;666.83;17.000;129.97;0.66;19.49;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;322.93;7.000;81.54;0.24;25.25;558.53;12.000;144.24;0.33;25.83;234.95;5.000;62.25;0.17;26.49;93.98;2.000;24.90;0.07;26.49;749.49;16.000;196.85;0.55;26.26;798.83;17.000;211.64;0.57;26.49;655.51;14.000;171.95;0.58;26.23;1646.55;45.000;93.90;0.64;5.70;1179.71;29.000;169.39;0.75;14.36;1333.69;31.000;248.42;0.74;18.63;835.81;19.000;169.95;0.50;20.33;1011.77;23.000;205.73;0.61;20.33;1332.68;32.000;215.10;0.54;16.14;673.84;16.000;115.81;0.26;17.19;649.87;13.000;139.40;0.34;21.45;1438.25;35.000;165.62;0.39;11.52;1097.28;22.000;233.41;0.65;21.27;537.39;11.000;105.45;0.36;19.62;1299.74;26.000;278.80;0.78;21.45;1197.26;24.000;254.85;2.91;21.29;1597.65;35.000;232.75;0.87;14.57;915.31;19.000;171.94;0.59;18.78;673.85;15.000;79.09;0.27;11.74;1562.58;32.000;256.79;0.50;16.43;1763.64;36.000;247.66;0.61;14.04;890.83;17.000;173.55;0.35;19.48;696.47;13.000;146.61;0.40;21.05;915.13;17.000;196.08;0.50;21.43;1128.39;21.000;240.15;0.64;21.28;323.94;6.000;70.16;0.22;21.66;755.86;14.000;163.70;0.59;21.66;1025.81;19.000;222.17;0.77;21.66;303.24;6.000;49.46;0.12;16.31;1129.78;22.000;199.24;0.58;17.64;1446.97;28.000;262.65;0.92;18.15;2144.36;39.000;423.70;1.24;19.76;335.93;7.000;77.99;0.17;23.22;1311.66;34.000;58.81;0.12;4.48;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00
11172;MCCAIN CHIPS SKINNY FRIES;7;124808.18;2 442.000;17660.58;1.07;14.15;3371.04;96.000;318.59;1.32;9.45;2003.52;48.000;556.19;2.48;27.76;674.85;15.000;235.80;0.70;34.94;1392.44;31.000;485.07;1.58;34.84;1799.60;40.000;628.80;3.21;34.94;2219.40;60.000;389.86;2.39;17.57;0.00;0.000;0.00;0.00;0.00;499.90;10.000;125.23;0.45;25.05;3639.27;73.000;904.16;2.66;24.84;1649.67;33.000;413.25;0.95;25.05;0.00;0.000;0.00;0.00;0.00;549.89;11.000;137.75;0.36;25.05;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;989.82;18.000;293.41;0.99;29.64;1042.06;19.000;306.97;2.10;29.46;4319.17;83.000;1069.23;4.72;24.76;1149.77;23.000;243.28;0.73;21.16;0.00;0.000;0.00;0.00;0.00;899.85;15.000;184.65;0.54;20.52;1985.63;37.000;253.88;0.64;12.79;1888.67;33.000;328.63;0.75;17.40;3439.38;62.000;487.79;1.17;14.18;2779.49;51.000;352.39;0.83;12.68;1679.72;28.000;344.67;0.97;20.52;2779.49;51.000;352.39;1.19;12.68;3944.23;77.000;284.16;0.80;7.20;3406.88;62.000;438.60;5.00;12.87;1319.76;24.000;170.75;0.64;12.94;3651.80;70.000;314.16;1.07;8.60;3496.87;63.000;478.20;1.63;13.67;4229.18;82.000;290.46;0.57;6.87;2971.93;57.000;276.52;0.68;9.30;2689.47;53.000;148.28;0.30;5.51;3533.82;68.000;271.02;0.73;7.67;4771.57;93.000;311.16;0.80;6.52;3598.81;69.000;287.45;0.76;7.99;4337.19;81.000;447.34;1.38;10.31;4379.16;84.000;348.41;1.26;7.96;3389.34;66.000;223.96;0.78;6.61;4633.64;86.000;1477.94;3.53;31.90;5116.00;100.000;1469.43;4.28;28.72;2617.37;48.000;311.95;1.10;11.92;4483.11;89.000;200.07;0.59;4.46;2481.54;46.000;272.91;0.58;11.00;4002.08;77.000;308.66;0.64;7.71;3927.26;74.000;377.92;0.80;9.62;3495.23;67.000;276.83;0.81;7.92;3579.31;69.000;262.42;0.65;7.33
11173;MCCAIN SLAP CHIPS;7;126667.72;2 493.000;12841.73;0.78;10.14;2474.29;71.000;164.03;0.68;6.63;1067.72;28.000;148.66;0.66;13.92;762.58;17.000;197.90;0.59;25.95;584.87;13.000;151.44;0.49;25.89;805.32;18.000;205.00;1.05;25.46;2969.20;80.000;333.71;2.05;11.24;2104.57;43.000;660.95;2.55;31.41;597.38;12.000;147.77;0.53;24.74;849.83;17.000;212.89;0.63;25.05;1599.68;32.000;400.73;0.92;25.05;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;384.93;7.000;114.83;0.39;29.83;2199.60;40.000;652.03;4.45;29.64;2429.55;45.000;684.42;3.02;28.17;0.00;0.000;0.00;0.00;0.00;1379.77;23.000;283.13;0.83;20.52;1739.71;29.000;356.98;1.05;20.52;2071.62;38.000;285.96;0.72;13.80;1504.74;26.000;272.72;0.62;18.12;3153.41;59.000;346.50;0.83;10.99;2099.62;38.000;290.72;0.68;13.85;1556.74;26.000;317.05;0.89;20.37;2591.01;49.000;260.25;0.88;10.04;3309.35;65.000;219.80;0.62;6.64;4486.66;84.000;474.45;5.41;10.57;1764.17;33.000;187.51;0.70;10.63;2869.44;56.000;203.49;0.70;7.09;2693.99;51.000;259.88;0.89;9.65;4006.70;80.000;163.73;0.32;4.09;3826.77;73.000;372.79;0.92;9.74;5938.85;115.000;422.36;0.84;7.11;3985.74;76.000;337.69;0.91;8.47;6273.76;124.000;329.51;0.85;5.25;3063.90;60.000;186.66;0.50;6.09;3409.34;66.000;243.64;0.75;7.15;4019.21;79.000;231.54;0.84;5.76;2289.55;45.000;132.65;0.46;5.79;4978.54;96.000;353.73;0.84;7.11;5551.89;111.000;221.35;0.65;3.99;2687.98;52.000;194.07;0.68;7.22;4129.54;81.000;234.60;0.69;5.68;3116.40;60.000;238.84;0.51;7.66;5675.74;111.000;354.41;0.74;6.24;3539.18;67.000;325.58;0.69;9.20;5371.81;104.000;376.06;1.10;7.00;4753.07;93.000;289.72;0.72;6.10
11174;MCCAIN STEW MIX VEG;7;10095.56;666.000;1276.46;0.08;12.64;244.36;17.000;57.10;0.24;23.37;219.93;17.000;33.51;0.15;15.23;46.00;4.000;2.36;0.01;5.13;141.49;12.000;10.43;0.03;7.37;59.96;4.000;15.77;0.08;26.31;26.49;2.000;4.53;0.03;17.11;14.99;1.000;3.94;0.02;26.31;59.96;4.000;9.75;0.04;16.25;167.88;12.000;17.88;0.05;10.65;136.91;9.000;24.21;0.06;17.68;275.80;20.000;24.89;0.07;9.02;55.96;4.000;5.93;0.02;10.60;298.78;22.000;23.23;0.06;7.77;295.78;22.000;19.57;0.05;6.62;227.84;16.000;24.85;0.08;10.91;384.74;26.000;51.88;0.35;13.48;174.90;10.000;44.04;0.19;25.18;484.63;37.000;38.77;0.12;8.00;221.15;15.000;27.96;0.08;12.64;347.76;24.000;41.43;0.12;11.91;84.95;5.000;18.75;0.05;22.07;179.88;12.000;24.45;0.06;13.59;236.94;16.000;25.45;0.06;10.74;229.15;15.000;26.37;0.06;11.51;461.69;31.000;43.23;0.12;9.36;470.18;33.000;59.27;0.20;12.61;248.86;14.000;58.03;0.16;23.32;141.91;9.000;19.11;0.22;13.47;215.11;14.000;26.34;0.10;12.25;285.11;19.000;28.50;0.10;10.00;294.89;16.000;67.29;0.23;22.82;236.85;15.000;33.67;0.07;14.22;214.00;13.000;26.79;0.07;12.52;269.07;18.000;10.16;0.02;3.77;304.95;19.000;31.81;0.09;10.43;124.95;7.000;23.47;0.06;18.78;484.77;31.000;38.71;0.10;7.99;210.87;13.000;22.54;0.07;10.69;228.87;13.000;38.88;0.14;16.99;74.96;4.000;16.10;0.06;21.48;334.80;20.000;44.04;0.11;13.15;99.94;6.000;12.76;0.04;12.76;119.94;6.000;30.99;0.11;25.84;134.92;8.000;17.68;0.05;13.11;39.98;2.000;9.49;0.02;23.73;39.98;2.000;9.49;0.02;23.73;275.83;17.000;16.63;0.04;6.03;134.92;8.000;12.94;0.04;9.59;31.98;2.000;1.49;0.00;4.65
11175;MCCAIN STIR FRY FRENCH;7;17337.42;1 133.000;2336.53;0.14;13.48;195.90;14.000;41.91;0.17;21.40;279.89;21.000;49.28;0.22;17.61;221.64;16.000;45.58;0.14;20.56;302.49;26.000;18.69;0.06;6.18;104.93;7.000;27.61;0.14;26.31;584.37;47.000;69.83;0.43;11.95;133.92;8.000;35.00;0.14;26.13;345.21;24.000;43.92;0.16;12.72;400.05;26.000;74.37;0.22;18.59;309.78;22.000;34.74;0.08;11.21;627.54;46.000;50.54;0.14;8.05;456.85;30.000;80.80;0.21;17.69;567.59;41.000;52.86;0.15;9.31;276.81;19.000;38.17;0.10;13.79;0.00;0.000;0.00;0.00;0.00;289.82;18.000;59.60;0.41;20.56;260.15;15.000;64.02;0.28;24.61;297.78;22.000;29.73;0.09;9.98;520.63;37.000;49.01;0.14;9.41;582.60;40.000;71.39;0.21;12.25;288.83;17.000;63.74;0.16;22.07;509.98;32.000;88.67;0.20;17.39;352.85;25.000;22.40;0.05;6.35;384.85;25.000;46.75;0.11;12.15;562.02;38.000;49.17;0.14;8.75;660.78;44.000;99.88;0.34;15.12;518.69;31.000;97.98;0.27;18.89;193.17;13.000;15.80;0.18;8.18;430.23;27.000;65.22;0.24;15.16;530.15;35.000;57.11;0.20;10.77;398.87;23.000;71.42;0.24;17.91;518.73;32.000;76.65;0.15;14.78;364.01;22.000;46.23;0.11;12.70;411.86;27.000;24.49;0.05;5.95;409.95;26.000;36.54;0.10;8.91;227.11;13.000;37.53;0.10;16.53;676.65;43.000;56.65;0.15;8.37;436.79;26.000;59.12;0.18;13.53;213.13;12.000;37.63;0.14;17.66;339.05;20.000;47.85;0.17;14.11;53.97;3.000;9.94;0.02;18.41;289.84;16.000;55.29;0.16;19.08;118.94;6.000;29.99;0.11;25.22;229.86;14.000;25.03;0.07;10.89;119.94;6.000;28.46;0.06;23.73;278.86;14.000;65.40;0.14;23.45;326.81;19.000;37.12;0.08;11.36;137.92;8.000;15.94;0.05;11.56;595.63;37.000;31.50;0.08;5.29
11176;MCCAIN COUNTRY CROP;7;38482.89;2 584.000;5341.87;0.32;13.88;593.46;43.000;120.37;0.50;20.28;1151.88;89.000;178.14;0.79;15.47;845.15;63.000;160.35;0.48;18.97;1313.86;110.000;114.77;0.37;8.74;493.17;33.000;135.53;0.69;27.48;1101.99;88.000;143.79;0.88;13.05;514.28;32.000;167.47;0.65;32.56;802.55;60.000;152.29;0.55;18.98;842.55;60.000;119.92;0.35;14.23;1213.28;87.000;161.85;0.37;13.34;2052.46;154.000;272.51;0.74;13.28;831.58;57.000;117.92;0.31;14.18;1639.17;103.000;345.82;0.97;21.10;1245.26;84.000;190.14;0.51;15.27;907.47;63.000;108.22;0.37;11.92;1238.41;79.000;228.14;1.56;18.42;516.50;30.000;123.31;0.54;23.87;950.47;68.000;112.50;0.34;11.84;555.60;40.000;46.97;0.14;8.45;655.54;46.000;70.24;0.21;10.71;441.74;26.000;97.48;0.25;22.07;668.87;43.000;109.32;0.25;16.34;1232.13;87.000;79.53;0.19;6.45;710.16;44.000;113.57;0.27;15.99;1129.14;76.000;103.26;0.29;9.14;542.40;39.000;52.94;0.18;9.76;801.85;50.000;125.65;0.35;15.67;595.59;41.000;37.31;0.43;6.26;693.16;44.000;98.82;0.37;14.26;1007.53;67.000;102.38;0.35;10.16;889.53;52.000;148.43;0.51;16.69;763.52;48.000;108.28;0.21;14.18;545.91;34.000;58.24;0.14;10.67;831.71;55.000;39.44;0.08;4.74;372.93;23.000;41.80;0.11;11.21;535.86;32.000;73.14;0.19;13.65;1135.55;72.000;100.11;0.27;8.82;340.83;22.000;23.37;0.07;6.86;440.99;26.000;62.56;0.23;14.19;383.75;25.000;23.27;0.08;6.06;889.43;57.000;66.46;0.16;7.47;524.70;30.000;88.34;0.26;16.84;357.82;18.000;90.98;0.32;25.43;902.46;54.000;110.59;0.32;12.25;259.87;13.000;61.66;0.13;23.73;337.83;17.000;78.63;0.16;23.28;575.66;34.000;57.27;0.12;9.95;459.74;26.000;63.32;0.18;13.77;647.60;40.000;55.46;0.14;8.56
11177;MCCAIN CUT BEANS;7;16012.33;1 037.000;2608.05;0.16;16.29;486.00;35.000;100.98;0.42;20.78;353.69;29.000;36.48;0.16;10.31;224.45;18.000;27.39;0.08;12.20;480.94;40.000;43.56;0.14;9.06;430.97;29.000;109.07;0.56;25.31;309.40;24.000;45.66;0.28;14.76;265.98;17.000;77.28;0.30;29.05;499.96;34.000;122.56;0.44;24.51;603.03;42.000;99.51;0.29;16.50;292.97;18.000;89.02;0.21;30.39;12.99;1.000;1.89;0.01;14.55;0.00;0.000;0.00;0.00;0.00;0.00;0.000;0.00;0.00;0.00;346.76;24.000;45.48;0.12;13.12;526.66;34.000;96.81;0.33;18.38;423.73;27.000;79.45;0.54;18.75;313.12;18.000;77.58;0.34;24.78;485.80;35.000;55.41;0.17;11.41;448.71;29.000;72.18;0.21;16.09;443.70;30.000;59.07;0.17;13.31;489.31;29.000;105.33;0.27;21.53;223.31;14.000;39.18;0.09;17.54;544.92;38.000;41.86;0.10;7.68;365.67;23.000;53.92;0.13;14.75;230.96;14.000;40.88;0.11;17.70;408.58;28.000;57.16;0.19;13.99;388.56;24.000;63.54;0.18;16.35;252.94;16.000;35.01;0.40;13.84;554.35;35.000;81.31;0.30;14.67;1040.36;64.000;172.21;0.59;16.55;692.13;37.000;168.09;0.57;24.29;395.76;24.000;64.81;0.13;16.38;146.97;9.000;17.66;0.04;12.01;413.73;27.000;24.35;0.05;5.89;326.02;21.000;25.21;0.07;7.73;86.97;5.000;14.26;0.04;16.39;371.90;23.000;39.47;0.10;10.61;206.87;13.000;19.21;0.06;9.28;147.91;9.000;17.24;0.06;11.65;167.90;10.000;22.30;0.08;13.28;251.85;15.000;33.45;0.08;13.28;284.85;15.000;64.69;0.19;22.71;176.91;9.000;43.49;0.15;24.58;136.16;9.000;5.84;0.02;4.29;139.93;7.000;33.20;0.07;23.73;118.94;6.000;27.46;0.06;23.09;123.93;7.000;17.20;0.04;13.88;87.95;5.000;11.72;0.03;13.32;287.83;17.000;28.63;0.07;9.95
