;;;Totals; ; ; ; ;01/03/22; ; ; ; ;01/04/22; ; ; ; ;01/05/22; ; ; ; ;01/06/22; ; ; ; ;01/07/22; ; ; ; ;01/08/22; ; ; ; ;01/09/22; ; ; ; ;01/10/22; ; ; ; ;01/11/22; ; ; ; ;01/12/22; ; ; ; ;01/01/23; ; ; ; ;01/02/23; ; ; ; ;01/03/23; ; ; ; ;01/04/23; ; ; ; ;01/05/23; ; ; ; ;01/06/23; ; ; ; ;01/07/23; ; ; ; ;01/08/23; ; ; ; ;01/09/23; ; ; ; ;01/10/23; ; ; ; ;01/11/23; ; ; ; ;01/12/23; ; ; ; ;01/01/24; ; ; ; ;01/02/24; ; ; ; ;01/03/24; ; ; ; ;01/04/24; ; ; ; ;01/05/24; ; ; ; ;01/06/24; ; ; ; ;01/07/24; ; ; ; ;01/08/24; ; ; ; ;01/09/24; ; ; ; ;01/10/24; ; ; ; ;01/11/24; ; ; ; ;01/12/24; ; ; ; ;01/01/25; ; ; ; ;01/02/25; ; ; ; ;01/03/25; ; ; ; ;01/04/25; ; ; ; ;01/05/25; ; ; ; ;01/06/25; ; ; ; ;01/07/25; ; ; ; ;01/08/25; ; ; ; ;01/09/25; ; ; ; ;01/10/25; ; ; ; ;01/11/25; ; ; ; ;01/12/25; ; ; ; ;01/01/26; ; ; ; ;01/02/26; ; ; ; ;01/03/26; ; ; ; 
Product Code;Product Description;Department;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %
352;ANCHOR INSTANT DRY YEAST;5;204698.78;31 860;56346.57;1.61;31.66;4701.62;970;1135.59;1.34;27.78;4028.66;831;973.54;1.61;27.79;3702.55;744;826.93;1.49;25.68;4218.70;740;1035.65;1.38;28.23;4210.36;704;1067.08;2.02;29.15;3313.06;554;839.54;0.94;29.14;3657.78;612;925.58;1.27;29.10;3644.60;610;921.49;1.23;29.08;3899.18;652;988.10;1.24;29.14;4031.27;673;1025.58;1.37;29.26;4773.43;797;1214.02;1.53;29.25;4839.01;809;1226.83;1.88;29.16;4517.65;755;1146.37;1.06;29.18;4937.25;825;1253.30;1.23;29.19;4618.28;772;1171.23;1.84;29.16;4535.21;684;1287.66;2.04;32.65;5763.95;825;1736.47;2.44;34.65;4488.61;644;1346.14;2.08;34.49;5793.30;830;1742.14;2.27;34.58;4424.31;634;1329.93;1.72;34.57;4496.31;644;1352.83;2.12;34.60;4788.84;686;1440.45;1.82;34.59;4310.73;617;1298.66;1.54;34.65;3816.19;546;1150.53;1.61;34.67;4518.68;647;1360.37;1.77;34.62;3838.20;550;1153.79;1.63;34.57;3646.68;522;1098.43;1.55;34.64;4585.43;657;1378.71;2.40;34.58;3693.51;529;1111.35;1.50;34.60;4887.05;700;1470.26;1.72;34.60;3847.29;551;1157.72;1.55;34.61;4596.26;659;1380.19;1.92;34.53;5672.38;812;1708.46;2.40;34.64;3086.78;442;929.20;1.28;34.62;3889.23;557;1170.37;1.44;34.61;4145.54;611;1201.72;1.70;33.34;4971.30;838;1104.19;1.42;25.54;4390.76;717;1029.42;1.49;26.96;4116.40;590;1236.88;1.76;34.55;4353.36;624;1307.94;2.15;34.55;3916.14;561;1177.89;2.03;34.59;3701.55;530;1114.37;1.95;34.62;3057.77;438;919.85;1.40;34.59;2878.83;413;863.51;1.44;34.49;3246.84;466;973.09;1.54;34.47;3194.25;573;542.36;0.89;19.53;3333.53;478;1000.82;1.34;34.53;3973.37;623;875.93;1.47;25.35;3646.80;614;644.10;1.09;20.31
353;G/STAR INSTANT DRY YEAST;5;89054.96;13 626;23315.24;0.67;30.11;1623.17;313;390.98;0.46;27.70;1634.85;315;394.61;0.65;27.76;1294.60;220;276.28;0.50;24.54;2029.41;339;424.84;0.57;24.07;2884.48;482;603.19;1.14;24.05;2215.10;390;437.25;0.49;22.70;1745.55;318;330.58;0.45;21.78;2250.90;410;426.53;0.57;21.79;1954.44;356;370.35;0.46;21.79;2161.80;390;423.72;0.57;22.54;2139.11;330;628.01;0.79;33.76;2231.26;344;655.87;1.00;33.80;2102.44;324;618.52;0.57;33.83;1712.39;264;503.36;0.49;33.80;2295.51;354;674.40;1.06;33.79;2048.89;316;601.83;0.95;33.78;2401.30;370;713.46;1.00;34.17;1954.79;302;577.83;0.89;33.99;1866.52;288;553.08;0.72;34.08;1940.51;299;576.56;0.75;34.17;1641.32;253;487.29;0.76;34.14;1446.62;223;429.44;0.54;34.14;1518.66;234;451.22;0.53;34.17;1401.84;216;416.51;0.58;34.17;1783.45;275;529.15;0.69;34.12;2030.08;308;587.69;0.83;33.29;2947.33;422;805.10;1.14;31.41;1876.21;274;493.23;0.86;30.23;1667.52;253;366.89;0.50;25.30;2208.14;316;534.94;0.63;27.86;1942.52;278;470.53;0.63;27.86;1710.80;245;413.69;0.58;27.81;1745.75;250;422.17;0.59;27.81;1785.59;256;430.51;0.59;27.73;1705.56;244;413.52;0.51;27.88;2054.36;294;497.65;0.70;27.86;2041.08;292;494.87;0.64;27.88;1306.43;187;316.31;0.46;27.84;1667.46;239;402.31;0.57;27.75;1775.46;254;430.47;0.71;27.88;1836.97;263;444.50;0.77;27.83;1437.72;193;404.18;0.71;32.33;1621.97;203;520.56;0.79;36.91;1660.32;208;531.99;0.89;36.85;1269.61;159;407.03;0.64;36.87;1145.76;144;365.09;0.60;36.64;1394.25;175;445.28;0.60;36.73;950.81;119;305.15;0.51;36.91;994.35;125;316.71;0.54;36.63
358;BAKERS TENNIS BISCUITS;5;106800.41;4 460;12714.68;0.36;13.69;2004.88;107;120.49;0.14;6.91;1813.91;79;258.96;0.43;16.42;2378.51;119;94.91;0.17;4.59;1577.59;61;334.37;0.45;24.37;1321.68;52;270.98;0.51;23.58;1267.87;53;225.85;0.25;20.49;1029.17;43;183.69;0.25;20.53;2322.12;108;232.86;0.31;11.53;2582.30;130;116.62;0.15;5.19;4838.24;211;665.69;0.89;15.82;2067.95;90;286.99;0.36;15.96;1971.39;86;270.19;0.41;15.76;1559.87;68;214.59;0.20;15.82;1743.79;76;240.19;0.24;15.84;1440.43;62;179.36;0.28;14.32;2066.89;91;250.34;0.40;13.93;1457.41;59;240.26;0.34;18.96;1148.29;46;187.47;0.29;18.78;2421.38;112;173.79;0.23;8.25;1419.43;57;229.30;0.30;18.58;2530.91;115;237.74;0.37;10.80;5017.99;201;819.58;1.03;18.78;2324.00;100;283.01;0.33;14.00;1939.93;82;241.13;0.34;14.29;2238.12;98;292.66;0.38;15.04;1076.23;40;194.84;0.28;20.82;2229.13;93;284.36;0.40;14.67;1098.87;42;181.92;0.32;19.04;1722.78;62;323.86;0.44;21.62;1907.78;81;263.48;0.31;15.88;1873.31;77;271.06;0.36;16.64;1148.29;46;177.95;0.25;17.82;1841.69;78;213.86;0.30;13.35;3291.18;132;507.23;0.70;17.72;2378.92;108;192.40;0.24;9.30;1825.68;82;158.61;0.22;9.99;2891.93;123;315.92;0.41;12.56;2952.18;106;322.34;0.47;12.56;2039.85;82;44.36;0.06;2.50;1703.82;69;32.54;0.05;2.20;1160.61;39;117.35;0.20;11.63;2104.63;86;132.36;0.23;7.23;3369.54;141;172.38;0.26;5.88;2737.09;111;157.88;0.26;6.63;3237.45;129;254.41;0.40;9.04;4093.63;137;814.18;1.33;22.87;3317.18;123;504.40;0.68;17.49;1769.67;73;111.83;0.19;7.27;2544.92;94;314.12;0.53;14.19
366;BAKERS MINI CHED BACON;5;40835.74;4 826;9823.35;0.28;27.66;849.98;142;141.45;0.17;19.14;976.37;163;162.97;0.27;19.19;1263.89;211;210.96;0.38;19.19;585.22;98;96.41;0.13;18.95;814.64;136;135.97;0.26;19.19;934.44;156;155.97;0.18;19.19;656.32;88;156.48;0.21;27.42;702.72;88;174.62;0.23;28.58;804.99;101;199.07;0.25;28.44;438.65;55;108.66;0.15;28.49;591.26;74;147.13;0.19;28.62;623.22;78;155.08;0.24;28.62;670.36;84;166.32;0.15;28.53;638.80;80;158.71;0.16;28.57;886.49;111;220.35;0.35;28.58;630.81;79;156.72;0.25;28.57;710.31;89;178.44;0.25;28.89;631.21;79;159.01;0.25;28.97;503.37;63;126.80;0.17;28.97;779.33;87;192.79;0.25;28.45;1041.04;116;256.99;0.40;28.39;1177.69;131;291.98;0.37;28.51;753.81;84;186.05;0.22;28.38;916.08;102;226.56;0.32;28.44;566.37;63;140.42;0.18;28.51;844.16;94;208.73;0.29;28.44;674.25;75;167.17;0.24;28.51;708.41;79;174.52;0.30;28.33;718.30;80;177.53;0.24;28.42;916.98;102;227.35;0.27;28.51;629.30;70;156.02;0.21;28.51;494.45;55;122.59;0.17;28.51;745.27;83;184.22;0.26;28.43;773.14;86;191.68;0.26;28.51;522.01;54;138.42;0.17;30.49;1168.83;117;319.12;0.45;31.40;1507.49;151;410.99;0.53;31.35;1019.41;109;250.94;0.36;28.31;1051.83;117;239.04;0.34;26.14;881.59;91;228.78;0.38;29.84;967.03;97;262.89;0.45;31.26;1187.81;119;323.78;0.57;31.35;779.22;78;212.80;0.32;31.41;1098.90;110;300.10;0.50;31.41;1027.97;103;280.13;0.44;31.34;777.22;78;211.06;0.35;31.23;1547.45;155;358.77;0.48;26.66;559.44;56;126.15;0.21;25.93;1087.91;109;244.68;0.41;25.86
367;BAKERS MINI CHED F/CHUT;5;29015.08;3 482;6994.47;0.20;27.72;431.28;72;71.99;0.09;19.19;622.96;104;103.98;0.17;19.19;760.73;127;126.97;0.23;19.19;388.75;65;64.46;0.09;19.07;592.11;99;98.20;0.19;19.07;766.42;128;127.71;0.14;19.16;1001.88;132;249.90;0.34;28.68;686.74;86;170.64;0.23;28.57;828.56;104;204.69;0.26;28.41;510.96;64;126.90;0.17;28.56;631.21;79;157.07;0.20;28.62;655.18;82;163.03;0.25;28.62;550.91;69;136.84;0.13;28.56;542.12;68;134.16;0.13;28.46;742.27;93;184.21;0.29;28.54;775.03;97;192.86;0.30;28.62;614.03;77;153.94;0.22;28.83;526.94;66;132.49;0.21;28.92;751.06;94;189.20;0.25;28.97;705.54;81;173.91;0.23;28.35;816.74;91;201.66;0.32;28.39;755.16;84;187.23;0.24;28.51;647.28;72;160.48;0.19;28.51;566.37;63;140.42;0.20;28.51;440.51;49;109.22;0.14;28.51;449.05;50;111.05;0.16;28.44;457.59;51;112.89;0.16;28.37;583.45;65;144.10;0.25;28.40;484.56;54;119.58;0.16;28.38;575.36;64;142.65;0.17;28.51;394.66;44;97.29;0.13;28.35;638.29;71;158.25;0.22;28.51;592.89;66;146.72;0.21;28.46;269.70;30;66.87;0.09;28.51;498.13;52;130.69;0.16;30.17;739.26;74;201.84;0.28;31.40;787.71;79;214.17;0.28;31.27;643.87;68;161.13;0.23;28.78;566.37;63;128.71;0.18;26.14;396.09;41;102.14;0.17;29.66;547.95;55;148.74;0.26;31.22;678.32;68;184.65;0.32;31.30;525.47;53;141.11;0.22;30.88;389.61;39;106.40;0.18;31.41;479.52;48;130.95;0.21;31.41;518.48;52;140.99;0.23;31.27;639.36;64;150.36;0.20;27.04;349.65;35;78.85;0.13;25.93;499.00;50;112.20;0.19;25.86
688;BOKOMO WEETBIX;5;420844.46;14 306;15937.42;0.45;4.36;10269.87;453;-103.86;-0.12;-1.16;8564.69;331;-288.15;-0.48;-3.87;11186.09;431;444.05;0.80;4.57;8827.53;327;-251.96;-0.34;-3.28;8818.43;307;5.13;0.01;0.07;6767.14;216;680.29;0.77;11.56;8866.21;309;-65.02;-0.09;-0.84;13227.30;470;-618.71;-0.82;-5.38;8881.16;314;302.67;0.38;3.92;5957.69;191;459.80;0.61;8.88;15353.54;521;732.71;0.92;5.49;11352.30;360;521.98;0.80;5.29;10858.51;354;472.04;0.44;5.00;10393.27;333;505.85;0.50;5.60;10281.25;330;400.05;0.63;4.47;9711.01;314;312.58;0.49;3.70;12346.91;407;-62.21;-0.09;-0.58;7562.98;247;242.53;0.38;3.69;11161.31;359;422.25;0.55;4.35;8416.82;261;930.67;1.20;12.72;8000.75;255;344.54;0.54;4.95;5231.86;159;365.92;0.46;8.04;13921.79;456;511.02;0.60;4.22;12410.40;421;669.09;0.94;6.20;9672.88;342;599.64;0.78;7.13;5772.60;195;233.97;0.33;4.66;9142.33;347;306.19;0.43;3.85;9034.36;289;366.42;0.64;4.66;9791.05;340;496.05;0.67;5.83;7748.07;273;275.03;0.32;4.08;10408.72;358;571.26;0.77;6.31;9718.09;321;397.66;0.55;4.71;7905.93;252;333.27;0.47;4.85;11164.25;390;538.66;0.74;5.55;4057.80;110;525.58;0.65;14.90;8608.31;304;300.20;0.42;4.01;7962.05;270;332.46;0.43;4.80;6510.36;209;284.75;0.41;5.03;6829.57;258;280.35;0.40;4.72;6636.30;225;280.84;0.46;4.87;6211.51;209;299.59;0.52;5.55;7736.00;260;226.66;0.40;3.37;6762.27;238;258.09;0.39;4.39;5799.71;189;265.65;0.44;5.27;6694.18;212;464.82;0.74;7.99;7216.62;253;366.62;0.60;5.84;3473.36;94;454.16;0.61;15.04;2175.01;59;280.64;0.47;14.84;5444.32;183;265.60;0.45;5.61
689;WEETBIX;5;651508.30;12 489;12083.07;0.34;2.13;9298.89;211;262.86;0.31;3.25;6214.99;126;513.43;0.85;9.50;11689.62;238;398.75;0.72;3.92;10611.78;222;-422.38;-0.56;-4.58;11361.00;230;-841.32;-1.59;-8.52;12825.53;247;-506.98;-0.57;-4.55;12319.27;253;-156.71;-0.22;-1.46;12209.50;250;-1400.20;-1.87;-13.19;13855.19;281;-878.80;-1.10;-7.29;16803.92;328;363.24;0.48;2.49;3936.62;58;487.50;0.61;14.24;12374.94;226;342.38;0.52;3.18;16723.95;305;309.03;0.29;2.12;13025.04;276;279.59;0.27;2.47;16996.42;358;741.64;1.16;5.02;21146.34;366;577.11;0.91;3.14;14693.45;280;486.90;0.68;3.81;20106.03;397;484.79;0.75;2.77;14373.52;248;786.39;1.02;6.29;7341.91;114;611.30;0.79;9.58;13512.11;247;421.97;0.66;3.59;17506.93;307;770.61;0.97;5.06;4321.88;62;570.52;0.68;15.18;13254.67;233;448.70;0.63;3.89;11988.38;226;558.54;0.73;5.36;14594.08;299;399.63;0.56;3.15;13502.78;267;290.33;0.41;2.47;14904.00;280;-1269.96;-2.21;-9.80;14061.25;275;-344.47;-0.47;-2.82;19116.20;380;380.18;0.44;2.29;12500.52;223;413.44;0.56;3.80;20003.40;385;458.20;0.64;2.63;17384.48;352;-899.30;-1.26;-5.95;8301.26;146;251.34;0.35;3.48;18183.55;320;598.32;0.74;3.78;14479.56;269;364.83;0.52;2.90;17414.21;329;511.23;0.66;3.38;14490.21;279;448.27;0.65;3.56;13804.76;274;341.43;0.49;2.84;13556.07;267;496.14;0.82;4.21;13561.62;255;445.08;0.77;3.77;13848.88;262;380.73;0.67;3.16;10505.98;202;223.66;0.34;2.45;12919.97;243;846.98;1.41;7.54;18866.33;392;1239.01;1.96;7.55;4095.70;80;349.81;0.57;9.82;11918.78;229;264.75;0.36;2.55;10802.73;202;392.23;0.66;4.18;10200.10;190;292.35;0.50;3.30
718;ENERGADE RTD NAARTJIE;5;52185.08;4 017;8641.05;0.25;19.04;2692.05;253;484.12;0.57;20.68;1311.99;101;349.40;0.58;30.63;1280.06;94;288.06;0.52;25.88;251.82;18;50.94;0.07;23.26;825.41;59;166.98;0.32;23.26;685.51;49;138.68;0.16;23.26;685.51;49;138.68;0.19;23.26;629.55;45;127.71;0.17;23.33;566.58;42;115.27;0.14;23.40;431.67;33;101.02;0.13;26.91;2269.68;207;262.18;0.33;13.28;1890.31;158;332.18;0.51;20.21;2081.52;187;271.01;0.25;14.97;1272.37;98;313.50;0.31;28.33;1623.75;125;400.59;0.63;28.37;376.71;29;92.94;0.15;28.37;822.40;60;193.78;0.27;27.10;1119.20;80;257.89;0.40;26.50;923.34;66;215.40;0.28;26.83;963.91;69;202.77;0.26;24.19;587.58;42;106.47;0.17;20.84;461.67;33;83.66;0.11;20.84;586.18;42;105.26;0.12;20.65;1161.17;83;210.41;0.29;20.84;1178.92;107;81.82;0.11;7.98;615.56;44;111.55;0.16;20.84;838.00;60;150.89;0.21;20.71;352.75;25;63.27;0.11;20.63;599.60;40;110.36;0.15;21.17;674.55;45;184.27;0.22;31.42;299.80;20;65.46;0.09;25.11;1467.25;120;45.96;0.06;3.60;737.46;54;105.92;0.15;16.52;1175.18;82;192.52;0.26;18.84;1960.48;152;200.62;0.25;11.77;854.43;57;158.00;0.22;21.27;1492.10;110;234.68;0.30;18.09;601.57;43;108.69;0.16;20.78;1658.80;130;182.03;0.26;12.62;1158.13;92;111.63;0.18;11.08;586.18;42;97.63;0.17;19.15;1444.33;116;132.74;0.23;10.57;729.71;56;91.45;0.14;14.41;1159.07;83;193.51;0.32;19.20;1062.89;76;178.55;0.28;19.32;1104.51;79;168.34;0.28;17.53;1707.13;122;258.67;0.35;17.42;1482.59;106;203.85;0.34;15.81;1744.15;134;199.75;0.34;13.17
721;ENERGADE RTD GRAPE;5;45608.62;3 461;7951.85;0.23;20.05;1062.66;103;175.56;0.21;19.00;1156.11;89;307.89;0.51;30.63;870.36;64;196.86;0.35;26.01;433.69;31;87.74;0.12;23.26;685.51;49;138.68;0.26;23.26;615.56;44;124.53;0.14;23.26;643.54;46;130.19;0.18;23.26;643.54;46;132.63;0.18;23.70;800.85;57;184.20;0.23;26.45;960.72;72;226.70;0.30;27.14;1390.33;119;222.17;0.28;18.38;1616.49;136;276.99;0.42;19.71;2114.82;190;274.99;0.26;14.95;922.29;71;227.54;0.22;28.37;2077.75;160;512.20;0.80;28.35;701.46;54;173.06;0.27;28.37;759.44;56;181.03;0.25;27.41;1301.07;93;299.80;0.46;26.50;671.52;48;156.05;0.20;26.72;783.44;56;165.58;0.21;24.31;685.51;49;124.22;0.19;20.84;909.35;65;164.78;0.21;20.84;863.88;62;154.13;0.18;20.52;1273.09;91;230.70;0.32;20.84;1284.33;117;87.10;0.11;7.80;825.41;59;149.57;0.21;20.84;629.55;45;114.08;0.16;20.84;461.67;33;83.66;0.15;20.84;733.76;49;138.34;0.19;21.68;974.35;65;266.17;0.31;31.42;463.19;31;91.39;0.12;22.69;1103.77;89;47.27;0.07;4.93;547.60;40;79.22;0.11;16.64;491.61;34;81.70;0.11;19.11;1479.07;113;163.30;0.20;12.70;703.78;47;130.10;0.18;21.26;1199.59;91;162.03;0.21;15.53;489.65;35;88.47;0.13;20.78;1274.88;102;119.16;0.17;10.75;315.76;24;40.05;0.07;14.59;474.96;34;79.41;0.14;19.23;991.84;80;88.28;0.15;10.24;523.84;41;59.14;0.09;12.98;1006.58;72;168.84;0.28;19.29;1229.02;88;205.27;0.32;19.21;822.61;59;123.69;0.20;17.29;1790.37;128;270.76;0.36;17.39;741.47;53;103.46;0.17;16.05;1106.98;81;143.17;0.24;14.87
