;;;Totals; ; ; ; ;01/03/22; ; ; ; ;01/04/22; ; ; ; ;01/05/22; ; ; ; ;01/06/22; ; ; ; ;01/07/22; ; ; ; ;01/08/22; ; ; ; ;01/09/22; ; ; ; ;01/10/22; ; ; ; ;01/11/22; ; ; ; ;01/12/22; ; ; ; ;01/01/23; ; ; ; ;01/02/23; ; ; ; ;01/03/23; ; ; ; ;01/04/23; ; ; ; ;01/05/23; ; ; ; ;01/06/23; ; ; ; ;01/07/23; ; ; ; ;01/08/23; ; ; ; ;01/09/23; ; ; ; ;01/10/23; ; ; ; ;01/11/23; ; ; ; ;01/12/23; ; ; ; ;01/01/24; ; ; ; ;01/02/24; ; ; ; ;01/03/24; ; ; ; ;01/04/24; ; ; ; ;01/05/24; ; ; ; ;01/06/24; ; ; ; ;01/07/24; ; ; ; ;01/08/24; ; ; ; ;01/09/24; ; ; ; ;01/10/24; ; ; ; ;01/11/24; ; ; ; ;01/12/24; ; ; ; ;01/01/25; ; ; ; ;01/02/25; ; ; ; ;01/03/25; ; ; ; ;01/04/25; ; ; ; ;01/05/25; ; ; ; ;01/06/25; ; ; ; ;01/07/25; ; ; ; ;01/08/25; ; ; ; ;01/09/25; ; ; ; ;01/10/25; ; ; ; ;01/11/25; ; ; ; ;01/12/25; ; ; ; ;01/01/26; ; ; ; ;01/02/26; ; ; ; ;01/03/26; ; ; ; 
Product Code;Product Description;Department;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %;Sales incl. VAT;Sales Quantity;Gross Profit;GP Ratio (%);GP %
3308;SPAR SQUILLOS MARSHMALLOW;14;43533.77;2 171;11239.38;0.44;29.69;1504.29;111;301.66;0.61;23.06;790.87;53;202.92;0.34;29.51;669.98;42;195.83;0.41;33.61;627.68;32;177.05;0.44;32.44;477.76;24;133.13;0.27;32.04;119.94;6;33.72;0.07;32.33;747.57;43;157.77;0.33;24.27;577.71;29;161.22;0.32;32.09;753.62;38;208.32;0.49;31.79;1257.29;61;347.00;0.61;31.74;331.84;16;91.29;0.19;31.64;299.85;15;80.41;0.17;30.84;757.62;38;201.97;0.34;30.66;707.63;37;208.39;0.34;33.87;2244.97;113;581.02;1.10;29.76;1828.08;92;471.34;0.95;29.65;1272.36;64;332.30;0.64;30.03;1875.06;94;493.53;0.98;30.27;1733.13;87;454.78;0.81;30.18;1152.42;58;300.58;0.51;29.99;758.62;38;200.05;0.36;30.33;3011.39;189;344.11;0.52;13.14;1556.22;78;409.80;0.74;30.28;1077.46;54;283.78;0.51;30.29;1313.34;66;343.74;0.45;30.10;1056.47;53;277.62;0.47;30.22;1257.37;63;331.36;0.65;30.31;1695.15;85;445.94;0.86;30.25;1662.26;74;463.65;0.94;32.08;1474.41;59;433.80;0.74;33.84;947.12;38;277.22;0.49;33.66;968.36;39;281.31;0.51;33.41;399.84;16;117.64;0.28;33.84;1524.39;61;448.50;0.83;33.84;795.93;32;232.02;0.45;33.52;249.90;10;73.53;0.14;33.84;324.87;13;95.58;0.15;33.84;622.25;25;181.64;0.31;33.57;547.28;22;159.58;0.36;33.53;574.77;23;169.11;0.35;33.84;567.27;23;159.82;0.38;32.40;497.30;20;131.05;0.27;30.31;373.60;15;98.83;0.25;30.42;349.86;14;93.26;0.21;30.65;124.95;5;33.31;0.08;30.65;73.72;3;18.90;0.04;29.48;0.00;0;0.00;0.00;0.00;0.00;0;0.00;0.00;0.00;0.00;0;0.00;0.00;0.00
6873;SPAR POPCORN;14;34546.57;2 063;8623.33;0.34;28.71;909.30;70;244.50;0.49;30.92;934.63;72;250.92;0.42;30.87;596.24;46;159.54;0.33;30.77;971.65;75;259.70;0.65;30.74;714.45;55;192.11;0.39;30.92;997.14;86;170.46;0.36;19.66;620.80;45;150.04;0.32;27.79;524.65;35;145.94;0.29;31.99;254.08;17;70.23;0.17;31.79;1002.08;67;277.41;0.49;31.84;1082.82;68;295.56;0.61;31.39;966.59;51;258.80;0.54;30.79;1133.41;64;294.17;0.49;29.85;1102.51;69;270.31;0.44;28.19;959.40;60;235.65;0.45;28.25;686.77;43;168.19;0.34;28.16;1007.37;63;250.54;0.48;28.60;614.83;37;142.40;0.28;26.64;576.81;34;130.16;0.23;25.95;713.58;42;161.70;0.27;26.06;712.73;42;160.96;0.29;25.97;348.10;20;79.91;0.12;26.40;56.97;3;14.18;0.03;28.63;303.84;16;75.65;0.14;28.63;151.92;8;37.83;0.05;28.63;474.75;25;118.21;0.20;28.63;569.70;30;141.85;0.28;28.63;891.58;47;221.40;0.43;28.56;740.61;39;184.40;0.37;28.63;816.57;43;203.31;0.35;28.63;606.73;32;150.48;0.26;28.52;264.91;14;65.37;0.12;28.38;491.84;26;121.28;0.28;28.36;436.77;23;108.75;0.20;28.63;682.69;36;169.39;0.33;28.53;683.64;36;170.22;0.32;28.63;797.58;42;198.59;0.31;28.63;568.75;30;141.02;0.24;28.51;586.79;31;144.92;0.33;28.40;549.76;29;136.29;0.28;28.51;417.78;22;104.02;0.24;28.63;493.74;26;122.93;0.25;28.63;663.70;35;164.66;0.41;28.53;645.66;34;160.76;0.36;28.63;968.49;51;241.14;0.55;28.63;1671.12;88;416.09;0.80;28.63;759.60;40;189.13;0.39;28.63;777.64;41;193.03;0.45;28.55;1043.50;55;259.23;0.49;28.57
16899;BEACON MINI LIQUOR ALSORT;14;29412.86;1 870;8141.98;0.32;31.83;0.00;0;0.00;0.00;0.00;259.80;20;73.40;0.12;32.49;363.07;28;99.14;0.21;31.40;324.10;25;83.84;0.21;29.75;609.88;47;171.13;0.35;32.27;545.58;42;154.77;0.33;32.62;531.94;41;150.13;0.32;32.46;584.55;45;164.39;0.33;32.34;441.66;34;118.73;0.28;30.91;571.56;44;148.05;0.26;29.79;635.21;49;163.75;0.34;29.65;662.49;51;171.61;0.36;29.79;435.05;30;112.10;0.19;29.63;359.76;24;92.70;0.15;29.63;14.99;1;3.86;0.01;29.60;359.01;24;91.95;0.18;29.45;776.48;52;198.03;0.38;29.33;239.84;16;70.14;0.14;33.63;419.72;28;122.74;0.22;33.63;899.40;60;231.45;0.39;29.59;580.63;37;146.67;0.26;29.05;527.67;33;154.41;0.23;33.65;604.83;38;163.49;0.30;31.08;1192.29;71;327.47;0.59;31.59;1069.52;63;293.56;0.38;31.56;1274.25;75;350.36;0.59;31.62;1153.62;68;316.18;0.62;31.52;967.58;57;265.53;0.51;31.56;0.00;0;0.00;0.00;0.00;781.54;46;214.89;0.37;31.62;831.66;49;228.67;0.40;31.62;1409.32;83;386.99;0.71;31.58;662.61;39;192.29;0.45;33.37;609.09;36;165.95;0.31;31.33;610.79;36;181.89;0.36;34.25;1066.12;63;298.12;0.56;32.16;541.98;32;148.01;0.23;31.40;627.78;37;172.10;0.29;31.53;423.90;25;126.28;0.28;34.26;458.73;27;143.02;0.29;35.86;118.93;7;36.77;0.09;35.56;406.06;24;110.64;0.23;31.33;879.23;52;272.26;0.68;35.61;916.61;54;285.83;0.64;35.86;439.19;26;127.50;0.29;33.39;594.65;35;163.50;0.31;31.62;628.63;37;172.84;0.36;31.62;594.65;35;163.50;0.38;31.62;406.91;24;111.37;0.21;31.48
16922;MAYNARDS WINE GUM ROLLS;14;61070.77;5 053;16111.64;0.63;30.34;1507.49;151;382.71;0.77;29.20;797.20;80;201.48;0.34;29.06;39.96;4;10.16;0.02;29.24;9.99;1;2.23;0.01;25.70;0.00;0;0.00;0.00;0.00;0.00;0;0.00;0.00;0.00;699.30;70;160.81;0.34;26.44;657.84;66;148.77;0.30;26.01;759.24;76;169.69;0.40;25.70;549.45;55;122.80;0.22;25.70;1128.37;113;251.87;0.52;25.67;1037.96;104;231.34;0.48;25.63;1370.67;133;311.36;0.52;26.12;1131.42;103;288.19;0.46;29.29;1196.26;109;301.54;0.57;28.99;845.68;77;213.55;0.43;29.04;813.26;74;205.69;0.39;29.09;395.09;36;99.59;0.20;28.99;1053.39;96;265.41;0.47;28.98;1120.98;102;283.52;0.48;29.09;1022.56;89;252.35;0.45;28.38;1531.72;128;408.03;0.61;30.63;1413.02;118;374.14;0.68;30.45;1625.24;136;403.73;0.73;28.57;2011.32;168;488.08;0.64;27.91;1765.76;144;454.68;0.77;29.61;1179.49;91;342.66;0.67;33.41;1169.10;90;320.32;0.62;31.51;259.15;20;66.39;0.13;29.46;1181.44;91;304.06;0.52;29.60;1597.12;123;411.82;0.72;29.65;1699.09;131;436.27;0.80;29.53;1589.97;123;404.97;0.95;29.29;1104.15;85;284.54;0.53;29.64;1960.19;151;504.35;0.99;29.59;2182.32;168;562.39;1.05;29.64;1700.39;131;437.64;0.69;29.60;2266.75;175;580.17;0.98;29.43;1076.87;83;281.55;0.63;30.07;1726.37;133;448.42;0.92;29.87;1480.86;114;381.62;0.90;29.64;2675.29;206;764.98;1.56;32.88;2038.13;157;620.60;1.55;35.02;2373.92;183;721.86;1.60;34.97;1541.91;119;465.78;1.07;34.74;2256.36;174;677.98;1.30;34.55;2312.22;178;697.04;1.45;34.67;1177.54;91;352.69;0.81;34.44;38.97;3;11.82;0.02;34.89
16927;JUNGLE E/BAR BERRIES;14;27537.70;2 089;6676.49;0.26;27.88;0.00;0;0.00;0.00;0.00;329.70;30;90.80;0.15;31.67;564.96;49;157.18;0.33;32.00;83.93;7;22.64;0.06;31.03;215.82;18;58.44;0.12;31.14;155.87;13;42.77;0.09;31.56;707.41;59;198.32;0.42;32.24;622.88;52;184.37;0.37;34.04;107.91;9;93.83;0.22;100.00;407.66;34;90.42;0.16;25.51;1090.49;91;241.48;0.50;25.47;659.45;55;146.27;0.31;25.51;981.20;80;232.66;0.39;27.27;1156.11;89;314.85;0.51;31.32;909.30;70;247.03;0.47;31.24;350.73;27;95.28;0.19;31.24;818.37;63;222.32;0.43;31.24;480.63;37;130.57;0.26;31.24;545.58;42;148.22;0.26;31.24;647.53;47;198.03;0.34;35.17;741.47;53;214.64;0.39;33.29;811.42;58;244.12;0.37;34.60;1086.68;84;259.90;0.47;27.50;1118.50;80;287.58;0.52;29.57;1091.22;78;274.73;0.36;28.95;1105.21;79;278.26;0.47;28.95;586.88;42;147.32;0.29;28.87;643.54;46;144.26;0.28;25.78;181.87;13;40.02;0.08;25.30;1314.71;108;236.13;0.40;20.65;785.46;57;174.77;0.31;25.59;754.76;54;165.62;0.30;25.23;699.50;50;153.91;0.36;25.30;684.81;49;174.99;0.32;29.39;124.51;9;32.68;0.06;30.18;89.94;6;19.78;0.04;25.29;359.76;24;79.20;0.12;25.32;74.95;5;20.17;0.03;30.95;374.75;25;87.86;0.20;26.96;377.88;30;53.56;0.11;16.30;419.72;28;93.03;0.22;25.49;457.04;34;81.07;0.17;20.40;456.82;35;56.38;0.14;14.19;374.75;25;94.28;0.21;28.93;419.72;28;114.47;0.26;31.36;14.99;1;3.30;0.01;25.29;675.74;52;82.66;0.17;14.07;329.78;22;72.51;0.17;25.29;545.79;42;73.79;0.14;15.55
16928;JUNGLE E/BAR YOGHURT;14;30917.09;2 366;7594.76;0.30;28.25;450.59;41;123.92;0.25;31.63;384.65;35;100.66;0.17;30.09;0.00;0;0.00;0.00;0.00;443.63;37;119.69;0.30;31.03;1127.06;94;305.22;0.62;31.14;538.35;45;149.62;0.32;31.96;1127.06;94;315.21;0.67;32.16;1175.02;98;260.62;0.52;25.51;623.48;52;138.29;0.33;25.51;203.83;17;60.74;0.11;34.27;922.63;77;204.25;0.42;25.46;1019.15;85;226.05;0.47;25.51;1144.08;92;282.72;0.47;28.42;1130.13;87;309.19;0.50;31.46;1117.14;86;303.49;0.57;31.24;441.66;34;119.98;0.24;31.24;675.48;52;183.51;0.35;31.24;779.40;60;211.74;0.42;31.24;415.68;32;112.93;0.20;31.24;1351.29;101;388.42;0.66;33.06;335.76;24;136.63;0.25;46.80;475.66;34;148.01;0.22;35.78;1187.28;90;302.88;0.55;29.34;1579.47;113;406.31;0.73;29.58;1133.19;81;285.30;0.37;28.95;825.41;59;207.81;0.35;28.95;545.61;39;137.37;0.27;28.95;598.77;43;133.04;0.26;25.55;655.43;47;142.85;0.29;25.06;884.16;71;172.51;0.29;22.44;441.72;33;90.43;0.16;23.54;1216.43;87;267.20;0.49;25.26;545.61;39;120.05;0.28;25.30;460.97;33;114.73;0.21;28.62;83.94;6;22.60;0.04;30.96;119.92;8;26.37;0.05;25.29;329.78;22;72.51;0.11;25.29;239.84;16;63.81;0.11;30.59;194.87;13;48.30;0.11;28.51;433.85;34;67.25;0.14;17.83;314.79;21;69.22;0.16;25.29;462.75;33;97.25;0.20;24.17;361.92;30;24.08;0.06;7.65;509.66;34;138.99;0.31;31.36;689.54;46;188.05;0.43;31.36;389.74;26;104.89;0.20;30.95;396.97;35;5.07;0.01;1.47;224.85;15;49.44;0.11;25.29;208.89;15;35.56;0.07;19.58
16930;BEACON ALLSORTS LIQUORICE;14;43360.24;1 602;10304.69;0.40;27.33;766.48;32;187.30;0.38;28.10;887.63;37;233.59;0.39;30.26;837.26;34;238.25;0.50;32.72;599.76;24;145.95;0.37;27.98;573.52;23;156.30;0.32;31.34;799.68;32;218.93;0.46;31.48;1098.31;44;281.66;0.60;29.49;748.45;30;181.35;0.36;27.86;1248.25;50;308.01;0.73;28.38;874.65;35;238.03;0.42;31.30;621.00;25;165.37;0.34;30.62;574.77;23;156.50;0.33;31.31;836.67;33;208.72;0.35;28.69;913.61;34;248.11;0.40;31.23;670.70;25;161.86;0.31;27.75;80.97;3;19.66;0.04;27.92;404.85;15;110.02;0.21;31.25;1211.85;45;326.93;0.65;31.02;833.99;31;200.79;0.36;27.69;619.78;22;165.69;0.28;30.74;636.33;22;176.98;0.32;31.98;434.85;15;119.90;0.18;31.71;521.82;18;130.22;0.24;28.70;692.86;24;159.63;0.29;26.50;57.98;2;13.17;0.02;26.12;434.85;15;98.77;0.17;26.12;376.87;13;92.54;0.18;28.24;434.85;15;111.78;0.22;29.56;752.29;26;192.49;0.39;29.43;810.27;28;183.97;0.31;26.11;1214.68;42;274.40;0.48;25.98;807.37;28;180.58;0.33;25.72;1042.19;36;253.13;0.59;27.93;2403.27;83;615.99;1.14;29.48;549.36;19;131.65;0.26;27.56;691.41;24;154.25;0.29;25.66;1359.63;47;307.14;0.48;25.98;608.79;21;155.62;0.26;29.40;521.82;18;138.11;0.31;30.44;985.66;34;252.79;0.52;29.49;1301.05;50;235.70;0.55;20.83;1156.45;45;222.94;0.46;22.17;1495.58;57;334.55;0.83;25.72;1642.22;64;353.63;0.79;24.76;1777.36;64;355.86;0.81;23.02;2853.58;102;581.71;1.11;23.44;975.45;35;196.37;0.41;23.15;948.86;34;191.87;0.44;23.25;670.36;24;135.94;0.26;23.32
16938;JUNGLE E/BAR DARK CHOC;14;31233.40;2 355;7412.47;0.29;27.29;329.70;30;95.90;0.19;33.45;329.70;30;93.86;0.16;32.74;359.70;30;97.04;0.20;31.03;0.00;0;0.00;0.00;0.00;586.31;49;158.32;0.32;31.05;419.65;35;117.31;0.25;32.15;491.59;41;144.10;0.30;33.71;1004.16;84;228.55;0.46;26.17;944.21;79;207.48;0.49;25.27;395.67;33;87.76;0.15;25.51;1446.59;121;318.13;0.66;25.29;441.23;37;96.31;0.20;25.10;1225.80;100;290.10;0.48;27.22;636.51;49;175.71;0.28;31.75;779.40;60;211.74;0.40;31.24;376.71;29;102.34;0.21;31.24;792.39;61;215.27;0.41;31.24;0.00;0;0.00;0.00;0.00;623.52;48;169.39;0.30;31.24;491.64;36;147.91;0.25;34.60;503.64;36;142.04;0.26;32.43;587.58;42;178.85;0.27;35.00;831.52;64;208.21;0.38;28.80;933.83;67;245.83;0.44;30.27;825.41;59;207.81;0.27;28.95;1439.57;103;361.57;0.61;28.88;752.66;54;187.76;0.37;28.69;909.35;65;206.74;0.40;26.15;334.36;24;72.66;0.15;24.99;982.66;77;207.76;0.35;24.31;928.70;69;191.84;0.34;23.76;921.94;66;201.94;0.37;25.19;1004.48;72;219.20;0.51;25.10;474.96;34;118.50;0.22;28.69;153.89;11;41.43;0.08;30.96;134.91;9;29.66;0.06;25.29;404.73;27;89.29;0.14;25.37;610.09;41;152.66;0.26;28.78;776.48;52;196.78;0.44;29.14;516.80;40;87.59;0.18;19.49;608.59;41;130.66;0.31;24.69;299.82;21;69.48;0.14;26.65;647.92;47;107.17;0.27;19.02;652.81;44;165.29;0.37;29.12;581.61;39;155.80;0.36;30.81;566.62;38;140.35;0.27;28.49;733.76;58;77.47;0.16;12.14;704.53;47;156.08;0.36;25.48;735.70;56;104.80;0.20;16.38
16941;WILSONS XXX MUSK;14;36485.05;6 351;10655.25;0.42;33.59;790.02;198;195.93;0.39;28.52;949.42;238;235.34;0.40;28.51;618.07;153;152.36;0.32;28.35;602.94;144;145.75;0.37;27.80;289.11;69;70.56;0.14;28.07;657.41;157;162.75;0.34;28.47;628.50;150;156.19;0.33;28.58;351.96;84;85.23;0.17;27.85;322.63;77;78.13;0.18;27.85;263.97;63;63.92;0.11;27.85;513.93;107;165.61;0.34;37.06;284.43;57;97.49;0.20;39.42;648.70;130;189.66;0.32;33.62;616.57;118;165.51;0.27;30.87;485.19;81;166.38;0.31;39.44;287.52;48;98.60;0.20;39.44;569.05;95;195.14;0.37;39.44;239.60;40;82.16;0.16;39.44;209.65;35;71.89;0.13;39.44;401.33;67;137.62;0.23;39.44;365.39;61;125.30;0.23;39.44;508.85;85;174.97;0.26;39.54;575.04;96;197.19;0.36;39.44;646.02;108;217.47;0.39;38.71;784.09;131;245.99;0.32;36.08;878.43;147;274.80;0.47;35.98;994.34;166;312.38;0.61;36.13;682.86;114;200.70;0.39;33.80;245.59;41;69.06;0.14;32.34;1616.70;270;454.24;0.77;32.31;1066.22;178;300.12;0.53;32.37;1316.30;220;369.24;0.67;32.26;862.26;144;242.28;0.57;32.31;1513.67;253;424.56;0.78;32.26;874.54;146;245.91;0.48;32.34;1046.75;175;262.28;0.49;28.82;1299.53;217;322.19;0.51;28.51;740.36;124;182.15;0.31;28.29;461.23;77;116.43;0.26;29.03;652.01;109;162.72;0.33;28.70;1005.16;144;337.95;0.79;38.67;1285.81;184;419.35;0.86;37.51;1005.51;144;314.41;0.78;35.96;1439.59;206;452.45;1.01;36.14;1081.35;155;337.27;0.77;35.87;1144.61;164;355.09;0.68;35.68;1125.04;161;349.78;0.73;35.75;817.83;117;254.72;0.59;35.82;719.97;103;217.98;0.41;34.82
