"Sub-
Dept.",Short Code,Description,Date,Opening Stock at CP,Purchases at CP,IDTs,Stock Adjustments at CP,Waste Adjustments at CP,Recipe Auto Produce at CP,Waste to Sales %,Sales at Cost,S.Take Var to Fin Stock,Fin S.Take Var to Sales %,Theo. Fin Closing Stock,Actual Stock at CP (Products),Theo to Act Difference CP,Stock Variance (Last Stock Take) at CP,Act S.Take Var to Sales %,Sales Excl. VAT,Front End GP%,Actual Fin GP%,Calc Cost of Sales,Calc GP R,Sales Excl. VAT (%),Stock Days CP
1146,HMRLAB,HMR LABELS,01.04.2026,1 255.79,112.53,0,0,0,0,0,0,-1 340.19,0,28.13,0,-28.13,0,0,0,0,0,1 340.19,-1 340.19,0,0
1146,HMRLAB,HMR LABELS,01.04.2025,0,1 297.17,0,0,0,0,0,0,-1 265.65,0,31.52,0,-31.52,0,0,0,0,0,1 265.65,-1 265.65,0,0
1801,WHNOT,WHY NOT?,01.04.2026,4 023.32,2 603.00,40.14,0,-134.05,0,-1.38,-4 820.76,2 594.69,26.79,4 306.33,4 362.83,56.5,18 716.08,0,9 686.00,50.23,75.63,2 360.13,7 325.87,3.49,26.8
1801,WHNOT,WHY NOT?,01.04.2025,11 462.01,4 816.00,-94.44,0,-39.36,0,-0.63,-2 593.31,1 651.68,26.46,15 202.59,15 036.40,-166.18,2 049.82,0,6 242.53,58.46,84.29,980.99,5 261.54,2.03,175.87
1802,FRIED,HMR FRIED,01.04.2026,3 520.66,25 667.30,-27.56,0,-610.16,0,-1.13,-11 749.21,-11 890.92,-22.07,4 910.12,809.06,-4 101.06,737.57,0,53 885.77,78.2,55,24 250.29,29 635.47,19.43,12.54
1802,FRIED,HMR FRIED,01.04.2025,18 301.00,66 548.37,-177.38,0,-109.63,0,-0.15,-17 555.46,-38 733.25,-54.19,28 273.65,32 400.77,4 127.13,-23 611.30,0,71 479.84,75.44,21.1,56 398.34,15 081.50,23.25,48.32
1803,ATAKE,HOTFOODS TAKEAWAYS,01.04.2026,638.95,1 498.11,0,0,0,0,0,-1 510.13,-250.47,-13.43,376.46,390.94,14.48,-222.14,0,1 865.05,19.03,5.6,1 760.60,104.45,0.67,7.48
1803,ATAKE,HOTFOODS TAKEAWAYS,01.04.2025,89.22,6 185.55,0,0,-13.14,0,-0.21,-4 291.62,-1 284.06,-20.44,685.96,-185.05,-871.01,-1 314.29,0,6 282.53,31.69,11.04,5 588.82,693.71,2.04,4.8
1804,B/DOUG,BREAD & DOUGH,01.04.2026,408.18,1 905.08,-73.05,0,-278.49,0,-3.74,-3 590.03,2 422.53,32.55,794.22,807.11,12.88,2 422.53,0,7 441.36,51.76,80.57,1 445.99,5 995.37,2.68,6.64
1804,B/DOUG,BREAD & DOUGH,01.04.2025,226.92,7 361.68,1 148.78,0,-239.13,0,-2.43,-5 142.83,1 016.49,10.34,4 371.91,3 196.21,-1 175.70,2 752.62,0,9 834.50,47.71,55.61,4 365.47,5 469.03,3.2,25.5
1805,ADESS,HOTFOODS DESSERTS,01.04.2026,744.25,0,0,0,0,0,0,0,-217.84,0,526.41,526.41,0,-217.84,0,0,0,0,217.84,-217.84,0,0
1805,ADESS,HOTFOODS DESSERTS,01.04.2025,794.93,1 365.55,-406.98,0,0,0,0,0,-859.31,0,894.19,1 073.29,179.1,-859.16,0,0,0,0,859.31,-859.31,0,0
1806,APLAT,HOTFOODS PLATTERS,01.04.2026,2 713.02,977.88,0,0,0,0,0,-1 278.81,-623.33,-23.85,1 788.76,1 788.76,0,-360.05,0,2 613.04,51.06,27.21,1 902.14,710.9,0.94,41.96
1806,APLAT,HOTFOODS PLATTERS,01.04.2025,62 557.92,1 974.26,0,0,0,0,0,-3 107.08,-58 820.31,-1 148.44,2 604.79,1 514.47,-1 090.32,-58 861.30,0,5 121.74,39.34,-1 109.11,61 927.39,-56 805.66,1.67,25.15
1807,ASALA,HOTFOODS SALADS,01.04.2026,2 596.69,3 191.49,-941.05,0,-229.19,0,-4.67,-2 496.01,1 888.63,38.45,4 010.57,2 898.23,-1 112.34,1 767.65,0,4 912.03,49.19,82.97,836.57,4 075.46,1.77,48.2
