Rank by Sales Excl. VAT (Sales Excl. VAT > 0), with Front End GP% and Actual Fin GP%
Latest: 01.04.2026 | Prev: 01.04.2025 | Candidates: 2026=18, 2025=18

ShortCode	Description	Rank_2025	Sales_2025	FrontGP_2025	ActualGP_2025	Rank_2026	Sales_2026	FrontGP_2026	ActualGP_2026	Move(26-25)
CHICK	CHICKEN OWN	2	66257.84	51.83	89.72	1	64089.96	48.48	88.91	-1
ACHIC	CHIKKA CHICKEN	3	56037.42	18.91	28.27	2	58919.86	49.49	27.97	-1
FRIED	HMR FRIED	1	71479.84	75.44	21.1	3	53885.77	78.2	55	2
PIESBY	PIES BUY IN	4	51582.52	45.48	37.79	4	46523.18	28.59	23.78	0
WHNOT	WHY NOT?	9	6242.53	58.46	84.29	5	9686	50.23	75.63	-4
B/DOUG	BREAD & DOUGH	5	9834.5	47.71	55.61	6	7441.36	51.76	80.57	1
SLUNC	SUNDAY LUNCH	10	5619.03	25.61	100	7	6746.9	25.22	64.9	-3
PORKOW	PORK OWN	7	6867.15	47.73	87.65	8	5963.9	45.44	86.29	1
BEEFOW	BEEF OWN	11	5270.24	53.38	67.27	9	5651.63	51.95	83.49	-2
ASALA	HOTFOODS SALADS	6	7113.65	64.04	43.55	10	4912.03	49.19	82.97	4
B/FAST	BREAKFAST	14	2588.7	47.55	100.66	11	3892.45	49.55	92.86	-3
APLAT	HOTFOODS PLATTERS	12	5121.74	39.34	-1109.11	12	2613.04	51.06	27.21	0
ATAKE	HOTFOODS TAKEAWAYS	8	6282.53	31.69	11.04	13	1865.05	19.03	5.6	5
VEGOWN	VEG OWN	16	1607.61	49.91	100	14	1677.94	50.69	80.31	-2
STAROW	STARCH OWN	13	3086.5	52.96	98.82	15	1590.15	58.94	92.12	2
L/MOWN	LAMB/MUTTON OWN	—	—	—	—	16	1208.77	42.34	85	—
TRADME	TRAD MEALS BUY IN	15	1769.34	25.82	43.31	17	625.98	27.26	39.38	2
OTHOWN	OTHER FOOD OWN	17	639.26	45.73	76.31	18	30.26	54.96	89.13	1
AINGR	HOTFOODS INGREDIENTS	18	15.83	53.52	-9429.38	—	—	—	—	—

