;;
;; Domain:     aidriven.biz.
;; Exported:   2026-08-18 06:59:30
;;
;; This file is intended for use for informational and archival
;; purposes ONLY and MUST be edited before use on a production
;; DNS server.  In particular, you must:
;;   -- update the SOA record with the correct authoritative name server
;;   -- update the SOA record with the contact e-mail address information
;;   -- update the NS record(s) with the authoritative name servers for this domain.
;;
;; For further information, please consult the BIND documentation
;; located on the following website:
;;
;; http://www.isc.org/
;;
;; And RFC 1035:
;;
;; http://www.ietf.org/rfc/rfc1035.txt
;;
;; Please note that we do NOT offer technical support for any use
;; of this zone data, the BIND name server, or any other third-party
;; DNS software.
;;
;; Use at your own risk.
;; SOA Record
aidriven.biz	3600	IN	SOA	kanye.ns.cloudflare.com. dns.cloudflare.com. 2053870297 10000 2400 604800 3600

;; NS Records
aidriven.biz.	86400	IN	NS	kanye.ns.cloudflare.com.
aidriven.biz.	86400	IN	NS	sunny.ns.cloudflare.com.

;; A Records
www.aidriven.biz.	1	IN	A	172.67.189.251 ; cf_tags=cf-proxied:true
www.aidriven.biz.	1	IN	A	104.21.81.144 ; cf_tags=cf-proxied:true

;; AAAA Records
www.aidriven.biz.	1	IN	AAAA	2606:4700:3037::6815:5190 ; cf_tags=cf-proxied:true
www.aidriven.biz.	1	IN	AAAA	2606:4700:3032::ac43:bdfb ; cf_tags=cf-proxied:true

;; CNAME Records
aidriven.biz.	1	IN	CNAME	aidriven-bbp.pages.dev. ; cf_tags=cf-proxied:true

;; MX Records
aidriven.biz.	1	IN	MX	5 alt2.aspmx.l.google.com.
aidriven.biz.	1	IN	MX	5 alt1.aspmx.l.google.com.
aidriven.biz.	1	IN	MX	10 alt4.aspmx.l.google.com.
aidriven.biz.	1	IN	MX	10 alt3.aspmx.l.google.com.
aidriven.biz.	1	IN	MX	1 aspmx.l.google.com.

;; TXT Records
aidriven.biz.	1	IN	TXT	"v=spf1 include:_spf.google.com ~all"
aidriven.biz.	1	IN	TXT	"zoho-verification=zb54993213.zmverify.zoho.com"
aidriven.biz.	1	IN	TXT	"google-site-verification=FvYOT5A4n2yVIRvX5TJ8A8IORIub56FNVxNfUr_SsAs"
_dmarc.aidriven.biz.	1	IN	TXT	"v=DMARC1; p=quarantine; rua=mailto:gerhard@aidriven.biz; pct=100"
zmail._domainkey.aidriven.biz.	1	IN	TXT	"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCltsIApLM3p1zht4PWaxBQXGUHW0OPz+byAGT8He8wbiwwl/3JF5qLjC6mig8oq3v6Dlux5eKO7J9JMaPXoDCImTtn7yQgAt8z1w/Y9/0gAtNjI9ZUYluerGlGTzpwcfAvl89bsK53NzD/0mbPebeF6sep2pZ0Qlyu8RFvkaKs7wIDAQAB"
